date_ref;period;IsProportional;store_id;target_volume;target_sales;avg_active_sales_person;nb_past_days,nb_remaining_days
07-01-2018;QTD;false;1;60;76000;2.0;7;24
07-01-2018;QTD;false;2;160;137000;2.0;7;24
07-01-2018;QTD;false;3;10;12000;1.0;7;24
07-01-2018;QTD;true;1;14;17161;2.0;7;24
07-01-2018;QTD;true;2;36;30935;2.0;7;24
07-01-2018;QTD;true;3;2;2710;1.0;7;24
07-01-2018;YTD;false;1;60;76000;2.0;7;24
07-01-2018;YTD;false;2;160;137000;2.0;7;24
07-01-2018;YTD;false;3;10;12000;1.0;7;24
07-01-2018;YTD;true;1;14;17161;2.0;7;24
07-01-2018;YTD;true;2;36;30935;2.0;7;24
07-01-2018;YTD;true;3;2;2710;1.0;7;24
08-01-2018;MTD;false;1;60;76000;3.0;8;23
08-01-2018;MTD;false;2;160;137000;1.0;8;23
08-01-2018;MTD;false;3;10;12000;2.0;8;23
08-01-2018;MTD;true;1;15;19613;3.0;8;23
08-01-2018;MTD;true;2;41;35355;1.0;8;23
08-01-2018;MTD;true;3;3;3097;2.0;8;23
08-01-2018;QTD;false;1;60;76000;2.0;8;23
08-01-2018;QTD;false;2;160;137000;2.0;8;23
08-01-2018;QTD;false;3;10;12000;1.0;8;23
08-01-2018;QTD;true;1;15;19613;2.0;8;23
08-01-2018;QTD;true;2;41;35355;2.0;8;23
08-01-2018;QTD;true;3;3;3097;1.0;8;23
08-01-2018;YTD;false;1;60;76000;2.0;8;23
08-01-2018;YTD;false;2;160;137000;2.0;8;23
08-01-2018;YTD;false;3;10;12000;1.0;8;23
08-01-2018;YTD;true;1;15;19613;2.0;8;23
08-01-2018;YTD;true;2;41;35355;2.0;8;23
08-01-2018;YTD;true;3;3;3097;1.0;8;23
09-01-2018;MTD;false;1;60;76000;3.0;9;22
09-01-2018;MTD;false;2;160;137000;1.0;9;22
09-01-2018;MTD;false;3;10;12000;2.0;9;22
09-01-2018;MTD;true;1;17;22065;3.0;9;22
09-01-2018;MTD;true;2;46;39774;1.0;9;22
09-01-2018;MTD;true;3;3;3484;2.0;9;22
09-01-2018;QTD;false;1;60;76000;2.0;9;22
09-01-2018;QTD;false;2;160;137000;2.0;9;22
09-01-2018;QTD;false;3;10;12000;1.0;9;22
09-01-2018;QTD;true;1;17;22065;2.0;9;22
09-01-2018;QTD;true;2;46;39774;2.0;9;22
09-01-2018;QTD;true;3;3;3484;1.0;9;22
09-01-2018;YTD;false;1;60;76000;2.0;9;22
09-01-2018;YTD;false;2;160;137000;2.0;9;22
09-01-2018;YTD;false;3;10;12000;1.0;9;22
09-01-2018;YTD;true;1;17;22065;2.0;9;22
09-01-2018;YTD;true;2;46;39774;2.0;9;22
09-01-2018;YTD;true;3;3;3484;1.0;9;22
10-01-2018;MTD;false;1;60;76000;3.0;10;21
10-01-2018;MTD;false;2;160;137000;1.0;10;21
10-01-2018;MTD;false;3;10;12000;2.0;10;21
10-01-2018;MTD;true;1;19;24516;3.0;10;21
10-01-2018;MTD;true;2;52;44194;1.0;10;21
10-01-2018;MTD;true;3;3;3871;2.0;10;21
10-01-2018;QTD;false;1;60;76000;2.0;10;21
10-01-2018;QTD;false;2;160;137000;2.0;10;21
10-01-2018;QTD;false;3;10;12000;1.0;10;21
10-01-2018;QTD;true;1;19;24516;2.0;10;21
10-01-2018;QTD;true;2;52;44194;2.0;10;21
10-01-2018;QTD;true;3;3;3871;1.0;10;21
10-01-2018;YTD;false;1;60;76000;2.0;10;21
10-01-2018;YTD;false;2;160;137000;2.0;10;21
10-01-2018;YTD;false;3;10;12000;1.0;10;21
10-01-2018;YTD;true;1;19;24516;2.0;10;21
10-01-2018;YTD;true;2;52;44194;2.0;10;21
10-01-2018;YTD;true;3;3;3871;1.0;10;21
11-01-2018;MTD;false;1;60;76000;3.0;11;20
11-01-2018;MTD;false;2;160;137000;1.0;11;20
11-01-2018;MTD;false;3;10;12000;2.0;11;20
11-01-2018;MTD;true;1;21;26968;3.0;11;20
11-01-2018;MTD;true;2;57;48613;1.0;11;20
11-01-2018;MTD;true;3;4;4258;2.0;11;20
11-01-2018;QTD;false;1;60;76000;2.0;11;20
11-01-2018;QTD;false;2;160;137000;2.0;11;20
11-01-2018;QTD;false;3;10;12000;1.0;11;20
11-01-2018;QTD;true;1;21;26968;2.0;11;20
11-01-2018;QTD;true;2;57;48613;2.0;11;20
11-01-2018;QTD;true;3;4;4258;1.0;11;20
11-01-2018;YTD;false;1;60;76000;2.0;11;20
11-01-2018;YTD;false;2;160;137000;2.0;11;20
11-01-2018;YTD;false;3;10;12000;1.0;11;20
11-01-2018;YTD;true;1;21;26968;2.0;11;20
11-01-2018;YTD;true;2;57;48613;2.0;11;20
11-01-2018;YTD;true;3;4;4258;1.0;11;20
12-01-2018;MTD;false;1;60;76000;3.0;12;19
12-01-2018;MTD;false;2;160;137000;1.0;12;19
12-01-2018;MTD;false;3;10;12000;2.0;12;19
12-01-2018;MTD;true;1;23;29419;3.0;12;19
12-01-2018;MTD;true;2;62;53032;1.0;12;19
12-01-2018;MTD;true;3;4;4645;2.0;12;19
12-01-2018;QTD;false;1;60;76000;2.0;12;19
12-01-2018;QTD;false;2;160;137000;2.0;12;19
12-01-2018;QTD;false;3;10;12000;1.0;12;19
12-01-2018;QTD;true;1;23;29419;2.0;12;19
12-01-2018;QTD;true;2;62;53032;2.0;12;19
12-01-2018;QTD;true;3;4;4645;1.0;12;19
12-01-2018;YTD;false;1;60;76000;2.0;12;19
12-01-2018;YTD;false;2;160;137000;2.0;12;19
12-01-2018;YTD;false;3;10;12000;1.0;12;19
12-01-2018;YTD;true;1;23;29419;2.0;12;19
12-01-2018;YTD;true;2;62;53032;2.0;12;19
12-01-2018;YTD;true;3;4;4645;1.0;12;19
13-01-2018;MTD;false;1;60;76000;3.0;13;18
13-01-2018;MTD;false;2;160;137000;1.0;13;18
13-01-2018;MTD;false;3;10;12000;2.0;13;18
13-01-2018;MTD;true;1;25;31871;3.0;13;18
13-01-2018;MTD;true;2;67;57452;1.0;13;18
13-01-2018;MTD;true;3;4;5032;2.0;13;18
13-01-2018;QTD;false;1;60;76000;2.0;13;18
13-01-2018;QTD;false;2;160;137000;2.0;13;18
13-01-2018;QTD;false;3;10;12000;1.0;13;18
13-01-2018;QTD;true;1;25;31871;2.0;13;18
13-01-2018;QTD;true;2;67;57452;2.0;13;18
13-01-2018;QTD;true;3;4;5032;1.0;13;18
13-01-2018;YTD;false;1;60;76000;2.0;13;18
13-01-2018;YTD;false;2;160;137000;2.0;13;18
13-01-2018;YTD;false;3;10;12000;1.0;13;18
13-01-2018;YTD;true;1;25;31871;2.0;13;18
13-01-2018;YTD;true;2;67;57452;2.0;13;18
13-01-2018;YTD;true;3;4;5032;1.0;13;18
14-01-2018;MTD;false;1;60;76000;3.0;14;17
14-01-2018;MTD;false;2;160;137000;1.0;14;17
14-01-2018;MTD;false;3;10;12000;2.0;14;17
14-01-2018;MTD;true;1;27;34323;3.0;14;17
14-01-2018;MTD;true;2;72;61871;1.0;14;17
14-01-2018;MTD;true;3;5;5419;2.0;14;17
14-01-2018;QTD;false;1;60;76000;2.0;14;17
14-01-2018;QTD;false;2;160;137000;2.0;14;17
14-01-2018;QTD;false;3;10;12000;1.0;14;17
14-01-2018;QTD;true;1;27;34323;2.0;14;17
14-01-2018;QTD;true;2;72;61871;2.0;14;17
14-01-2018;QTD;true;3;5;5419;1.0;14;17
14-01-2018;YTD;false;1;60;76000;2.0;14;17
14-01-2018;YTD;false;2;160;137000;2.0;14;17
14-01-2018;YTD;false;3;10;12000;1.0;14;17
14-01-2018;YTD;true;1;27;34323;2.0;14;17
14-01-2018;YTD;true;2;72;61871;2.0;14;17
14-01-2018;YTD;true;3;5;5419;1.0;14;17
15-01-2018;MTD;false;1;60;76000;3.0;15;16
15-01-2018;MTD;false;2;160;137000;1.0;15;16
15-01-2018;MTD;false;3;10;12000;2.0;15;16
15-01-2018;MTD;true;1;29;36774;3.0;15;16
15-01-2018;MTD;true;2;77;66290;1.0;15;16
15-01-2018;MTD;true;3;5;5806;2.0;15;16
15-01-2018;QTD;false;1;60;76000;2.0;15;16
15-01-2018;QTD;false;2;160;137000;2.0;15;16
15-01-2018;QTD;false;3;10;12000;1.0;15;16
15-01-2018;QTD;true;1;29;36774;2.0;15;16
15-01-2018;QTD;true;2;77;66290;2.0;15;16
15-01-2018;QTD;true;3;5;5806;1.0;15;16
15-01-2018;YTD;false;1;60;76000;2.0;15;16
15-01-2018;YTD;false;2;160;137000;2.0;15;16
15-01-2018;YTD;false;3;10;12000;1.0;15;16
15-01-2018;YTD;true;1;29;36774;2.0;15;16
15-01-2018;YTD;true;2;77;66290;2.0;15;16
15-01-2018;YTD;true;3;5;5806;1.0;15;16
16-01-2018;MTD;false;1;60;76000;3.0;16;15
16-01-2018;MTD;false;2;160;137000;1.0;16;15
16-01-2018;MTD;false;3;10;12000;2.0;16;15
16-01-2018;MTD;true;1;31;39226;3.0;16;15
16-01-2018;MTD;true;2;83;70710;1.0;16;15
16-01-2018;MTD;true;3;5;6194;2.0;16;15
16-01-2018;QTD;false;1;60;76000;2.0;16;15
16-01-2018;QTD;false;2;160;137000;2.0;16;15
16-01-2018;QTD;false;3;10;12000;1.0;16;15
16-01-2018;QTD;true;1;31;39226;2.0;16;15
16-01-2018;QTD;true;2;83;70710;2.0;16;15
16-01-2018;QTD;true;3;5;6194;1.0;16;15
16-01-2018;YTD;false;1;60;76000;2.0;16;15
16-01-2018;YTD;false;2;160;137000;2.0;16;15
16-01-2018;YTD;false;3;10;12000;1.0;16;15
16-01-2018;YTD;true;1;31;39226;2.0;16;15
16-01-2018;YTD;true;2;83;70710;2.0;16;15
16-01-2018;YTD;true;3;5;6194;1.0;16;15
17-01-2018;MTD;false;1;60;76000;3.0;17;14
17-01-2018;MTD;false;2;160;137000;1.0;17;14
17-01-2018;MTD;false;3;10;12000;2.0;17;14
17-01-2018;MTD;true;1;33;41677;3.0;17;14
17-01-2018;MTD;true;2;88;75129;1.0;17;14
17-01-2018;MTD;true;3;5;6581;2.0;17;14
17-01-2018;QTD;false;1;60;76000;2.0;17;14
17-01-2018;QTD;false;2;160;137000;2.0;17;14
17-01-2018;QTD;false;3;10;12000;1.0;17;14
17-01-2018;QTD;true;1;33;41677;2.0;17;14
17-01-2018;QTD;true;2;88;75129;2.0;17;14
17-01-2018;QTD;true;3;5;6581;1.0;17;14
17-01-2018;YTD;false;1;60;76000;2.0;17;14
17-01-2018;YTD;false;2;160;137000;2.0;17;14
17-01-2018;YTD;false;3;10;12000;1.0;17;14
17-01-2018;YTD;true;1;33;41677;2.0;17;14
17-01-2018;YTD;true;2;88;75129;2.0;17;14
17-01-2018;YTD;true;3;5;6581;1.0;17;14
18-01-2018;MTD;false;1;60;76000;3.0;18;13
18-01-2018;MTD;false;2;160;137000;1.0;18;13
18-01-2018;MTD;false;3;10;12000;2.0;18;13
18-01-2018;MTD;true;1;35;44129;3.0;18;13
18-01-2018;MTD;true;2;93;79548;1.0;18;13
18-01-2018;MTD;true;3;6;6968;2.0;18;13
18-01-2018;QTD;false;1;60;76000;2.0;18;13
18-01-2018;QTD;false;2;160;137000;2.0;18;13
18-01-2018;QTD;false;3;10;12000;1.0;18;13
18-01-2018;QTD;true;1;35;44129;2.0;18;13
18-01-2018;QTD;true;2;93;79548;2.0;18;13
18-01-2018;QTD;true;3;6;6968;1.0;18;13
18-01-2018;YTD;false;1;60;76000;2.0;18;13
18-01-2018;YTD;false;2;160;137000;2.0;18;13
18-01-2018;YTD;false;3;10;12000;1.0;18;13
18-01-2018;YTD;true;1;35;44129;2.0;18;13
18-01-2018;YTD;true;2;93;79548;2.0;18;13
18-01-2018;YTD;true;3;6;6968;1.0;18;13
19-01-2018;MTD;false;1;60;76000;3.0;19;12
19-01-2018;MTD;false;2;160;137000;1.0;19;12
19-01-2018;MTD;false;3;10;12000;2.0;19;12
19-01-2018;MTD;true;1;37;46581;3.0;19;12
19-01-2018;MTD;true;2;98;83968;1.0;19;12
19-01-2018;MTD;true;3;6;7355;2.0;19;12
19-01-2018;QTD;false;1;60;76000;2.0;19;12
19-01-2018;QTD;false;2;160;137000;2.0;19;12
19-01-2018;QTD;false;3;10;12000;1.0;19;12
19-01-2018;QTD;true;1;37;46581;2.0;19;12
19-01-2018;QTD;true;2;98;83968;2.0;19;12
19-01-2018;QTD;true;3;6;7355;1.0;19;12
19-01-2018;YTD;false;1;60;76000;2.0;19;12
19-01-2018;YTD;false;2;160;137000;2.0;19;12
19-01-2018;YTD;false;3;10;12000;1.0;19;12
19-01-2018;YTD;true;1;37;46581;2.0;19;12
19-01-2018;YTD;true;2;98;83968;2.0;19;12
19-01-2018;YTD;true;3;6;7355;1.0;19;12
20-01-2018;MTD;false;1;60;76000;3.0;20;11
20-01-2018;MTD;false;2;160;137000;1.0;20;11
20-01-2018;MTD;false;3;10;12000;2.0;20;11
20-01-2018;MTD;true;1;39;49032;3.0;20;11
20-01-2018;MTD;true;2;103;88387;1.0;20;11
20-01-2018;MTD;true;3;6;7742;2.0;20;11
20-01-2018;QTD;false;1;60;76000;2.0;20;11
20-01-2018;QTD;false;2;160;137000;2.0;20;11
20-01-2018;QTD;false;3;10;12000;1.0;20;11
20-01-2018;QTD;true;1;39;49032;2.0;20;11
20-01-2018;QTD;true;2;103;88387;2.0;20;11
20-01-2018;QTD;true;3;6;7742;1.0;20;11
20-01-2018;YTD;false;1;60;76000;2.0;20;11
20-01-2018;YTD;false;2;160;137000;2.0;20;11
20-01-2018;YTD;false;3;10;12000;1.0;20;11
20-01-2018;YTD;true;1;39;49032;2.0;20;11
20-01-2018;YTD;true;2;103;88387;2.0;20;11
20-01-2018;YTD;true;3;6;7742;1.0;20;11
21-01-2018;MTD;false;1;60;76000;3.0;21;10
21-01-2018;MTD;false;2;160;137000;1.0;21;10
21-01-2018;MTD;false;3;10;12000;2.0;21;10
21-01-2018;MTD;true;1;41;51484;3.0;21;10
21-01-2018;MTD;true;2;108;92806;1.0;21;10
21-01-2018;MTD;true;3;7;8129;2.0;21;10
21-01-2018;QTD;false;1;60;76000;2.0;21;10
21-01-2018;QTD;false;2;160;137000;2.0;21;10
21-01-2018;QTD;false;3;10;12000;1.0;21;10
21-01-2018;QTD;true;1;41;51484;2.0;21;10
21-01-2018;QTD;true;2;108;92806;2.0;21;10
21-01-2018;QTD;true;3;7;8129;1.0;21;10
21-01-2018;YTD;false;1;60;76000;2.0;21;10
21-01-2018;YTD;false;2;160;137000;2.0;21;10
21-01-2018;YTD;false;3;10;12000;1.0;21;10
21-01-2018;YTD;true;1;41;51484;2.0;21;10
21-01-2018;YTD;true;2;108;92806;2.0;21;10
21-01-2018;YTD;true;3;7;8129;1.0;21;10
22-01-2018;MTD;false;1;60;76000;3.0;22;9
22-01-2018;MTD;false;2;160;137000;1.0;22;9
22-01-2018;MTD;false;3;10;12000;2.0;22;9
22-01-2018;MTD;true;1;43;53935;3.0;22;9
22-01-2018;MTD;true;2;114;97226;1.0;22;9
22-01-2018;MTD;true;3;7;8516;2.0;22;9
22-01-2018;QTD;false;1;60;76000;2.0;22;9
22-01-2018;QTD;false;2;160;137000;2.0;22;9
22-01-2018;QTD;false;3;10;12000;1.0;22;9
22-01-2018;QTD;true;1;43;53935;2.0;22;9
22-01-2018;QTD;true;2;114;97226;2.0;22;9
22-01-2018;QTD;true;3;7;8516;1.0;22;9
22-01-2018;YTD;false;1;60;76000;2.0;22;9
22-01-2018;YTD;false;2;160;137000;2.0;22;9
22-01-2018;YTD;false;3;10;12000;1.0;22;9
22-01-2018;YTD;true;1;43;53935;2.0;22;9
22-01-2018;YTD;true;2;114;97226;2.0;22;9
22-01-2018;YTD;true;3;7;8516;1.0;22;9
23-01-2018;MTD;false;1;60;76000;3.0;23;8
23-01-2018;MTD;false;2;160;137000;1.0;23;8
23-01-2018;MTD;false;3;10;12000;2.0;23;8
23-01-2018;MTD;true;1;45;56387;3.0;23;8
23-01-2018;MTD;true;2;119;101645;1.0;23;8
23-01-2018;MTD;true;3;7;8903;2.0;23;8
23-01-2018;QTD;false;1;60;76000;2.0;23;8
23-01-2018;QTD;false;2;160;137000;2.0;23;8
23-01-2018;QTD;false;3;10;12000;1.0;23;8
23-01-2018;QTD;true;1;45;56387;2.0;23;8
23-01-2018;QTD;true;2;119;101645;2.0;23;8
23-01-2018;QTD;true;3;7;8903;1.0;23;8
23-01-2018;YTD;false;1;60;76000;2.0;23;8
23-01-2018;YTD;false;2;160;137000;2.0;23;8
23-01-2018;YTD;false;3;10;12000;1.0;23;8
23-01-2018;YTD;true;1;45;56387;2.0;23;8
23-01-2018;YTD;true;2;119;101645;2.0;23;8
23-01-2018;YTD;true;3;7;8903;1.0;23;8
24-01-2018;MTD;false;1;60;76000;3.0;24;7
24-01-2018;MTD;false;2;160;137000;1.0;24;7
24-01-2018;MTD;false;3;10;12000;2.0;24;7
24-01-2018;MTD;true;1;46;58839;3.0;24;7
24-01-2018;MTD;true;2;124;106065;1.0;24;7
24-01-2018;MTD;true;3;8;9290;2.0;24;7
24-01-2018;QTD;false;1;60;76000;2.0;24;7
24-01-2018;QTD;false;2;160;137000;2.0;24;7
24-01-2018;QTD;false;3;10;12000;1.0;24;7
24-01-2018;QTD;true;1;46;58839;2.0;24;7
24-01-2018;QTD;true;2;124;106065;2.0;24;7
24-01-2018;QTD;true;3;8;9290;1.0;24;7
24-01-2018;YTD;false;1;60;76000;2.0;24;7
24-01-2018;YTD;false;2;160;137000;2.0;24;7
24-01-2018;YTD;false;3;10;12000;1.0;24;7
24-01-2018;YTD;true;1;46;58839;2.0;24;7
24-01-2018;YTD;true;2;124;106065;2.0;24;7
24-01-2018;YTD;true;3;8;9290;1.0;24;7
25-01-2018;MTD;false;1;60;76000;3.0;25;6
25-01-2018;MTD;false;2;160;137000;1.0;25;6
25-01-2018;MTD;false;3;10;12000;2.0;25;6
25-01-2018;MTD;true;1;48;61290;3.0;25;6
25-01-2018;MTD;true;2;129;110484;1.0;25;6
25-01-2018;MTD;true;3;8;9677;2.0;25;6
25-01-2018;QTD;false;1;60;76000;2.0;25;6
25-01-2018;QTD;false;2;160;137000;2.0;25;6
25-01-2018;QTD;false;3;10;12000;1.0;25;6
25-01-2018;QTD;true;1;48;61290;2.0;25;6
25-01-2018;QTD;true;2;129;110484;2.0;25;6
25-01-2018;QTD;true;3;8;9677;1.0;25;6
25-01-2018;YTD;false;1;60;76000;2.0;25;6
25-01-2018;YTD;false;2;160;137000;2.0;25;6
25-01-2018;YTD;false;3;10;12000;1.0;25;6
25-01-2018;YTD;true;1;48;61290;2.0;25;6
25-01-2018;YTD;true;2;129;110484;2.0;25;6
25-01-2018;YTD;true;3;8;9677;1.0;25;6
26-01-2018;MTD;false;1;60;76000;3.0;26;5
26-01-2018;MTD;false;2;160;137000;1.0;26;5
26-01-2018;MTD;false;3;10;12000;2.0;26;5
26-01-2018;MTD;true;1;50;63742;3.0;26;5
26-01-2018;MTD;true;2;134;114903;1.0;26;5
26-01-2018;MTD;true;3;8;10065;2.0;26;5
26-01-2018;QTD;false;1;60;76000;2.0;26;5
26-01-2018;QTD;false;2;160;137000;2.0;26;5
26-01-2018;QTD;false;3;10;12000;1.0;26;5
26-01-2018;QTD;true;1;50;63742;2.0;26;5
26-01-2018;QTD;true;2;134;114903;2.0;26;5
26-01-2018;QTD;true;3;8;10065;1.0;26;5
26-01-2018;YTD;false;1;60;76000;2.0;26;5
26-01-2018;YTD;false;2;160;137000;2.0;26;5
26-01-2018;YTD;false;3;10;12000;1.0;26;5
26-01-2018;YTD;true;1;50;63742;2.0;26;5
26-01-2018;YTD;true;2;134;114903;2.0;26;5
26-01-2018;YTD;true;3;8;10065;1.0;26;5
27-01-2018;MTD;false;1;60;76000;3.0;27;4
27-01-2018;MTD;false;2;160;137000;1.0;27;4
27-01-2018;MTD;false;3;10;12000;2.0;27;4
27-01-2018;MTD;true;1;52;66194;3.0;27;4
27-01-2018;MTD;true;2;139;119323;1.0;27;4
27-01-2018;MTD;true;3;9;10452;2.0;27;4
27-01-2018;QTD;false;1;60;76000;2.0;27;4
27-01-2018;QTD;false;2;160;137000;2.0;27;4
27-01-2018;QTD;false;3;10;12000;1.0;27;4
27-01-2018;QTD;true;1;52;66194;2.0;27;4
27-01-2018;QTD;true;2;139;119323;2.0;27;4
27-01-2018;QTD;true;3;9;10452;1.0;27;4
27-01-2018;YTD;false;1;60;76000;2.0;27;4
27-01-2018;YTD;false;2;160;137000;2.0;27;4
27-01-2018;YTD;false;3;10;12000;1.0;27;4
27-01-2018;YTD;true;1;52;66194;2.0;27;4
27-01-2018;YTD;true;2;139;119323;2.0;27;4
27-01-2018;YTD;true;3;9;10452;1.0;27;4
28-01-2018;MTD;false;1;60;76000;3.0;28;3
28-01-2018;MTD;false;2;160;137000;1.0;28;3
28-01-2018;MTD;false;3;10;12000;2.0;28;3
28-01-2018;MTD;true;1;54;68645;3.0;28;3
28-01-2018;MTD;true;2;145;123742;1.0;28;3
28-01-2018;MTD;true;3;9;10839;2.0;28;3
28-01-2018;QTD;false;1;60;76000;2.0;28;3
28-01-2018;QTD;false;2;160;137000;2.0;28;3
28-01-2018;QTD;false;3;10;12000;1.0;28;3
28-01-2018;QTD;true;1;54;68645;2.0;28;3
