date_ref;period;store_id;nb_deliveries;avg_delivery_time;nb_late_deliveries
20-01-2018;YTD;3;1;2.0;0
21-01-2018;MTD;1;13;2.230769230769231;4
21-01-2018;MTD;2;19;1.6842105263157894;3
21-01-2018;MTD;3;1;2.0;0
21-01-2018;QTD;1;13;2.230769230769231;4
21-01-2018;QTD;2;19;1.6842105263157894;3
21-01-2018;QTD;3;1;2.0;0
21-01-2018;YTD;1;13;2.230769230769231;4
21-01-2018;YTD;2;19;1.6842105263157894;3
21-01-2018;YTD;3;1;2.0;0
22-01-2018;MTD;1;13;2.230769230769231;4
22-01-2018;MTD;2;21;1.6666666666666667;3
22-01-2018;MTD;3;1;2.0;0
22-01-2018;QTD;1;13;2.230769230769231;4
22-01-2018;QTD;2;21;1.6666666666666667;3
22-01-2018;QTD;3;1;2.0;0
22-01-2018;YTD;1;13;2.230769230769231;4
22-01-2018;YTD;2;21;1.6666666666666667;3
22-01-2018;YTD;3;1;2.0;0
23-01-2018;MTD;1;13;2.230769230769231;4
23-01-2018;MTD;2;22;1.6363636363636365;3
23-01-2018;MTD;3;1;2.0;0
23-01-2018;QTD;1;13;2.230769230769231;4
23-01-2018;QTD;2;22;1.6363636363636365;3
23-01-2018;QTD;3;1;2.0;0
23-01-2018;YTD;1;13;2.230769230769231;4
23-01-2018;YTD;2;22;1.6363636363636365;3
23-01-2018;YTD;3;1;2.0;0
24-01-2018;MTD;1;13;2.230769230769231;4
24-01-2018;MTD;2;22;1.6363636363636365;3
24-01-2018;MTD;3;1;2.0;0
24-01-2018;QTD;1;13;2.230769230769231;4
24-01-2018;QTD;2;22;1.6363636363636365;3
24-01-2018;QTD;3;1;2.0;0
24-01-2018;YTD;1;13;2.230769230769231;4
24-01-2018;YTD;2;22;1.6363636363636365;3
24-01-2018;YTD;3;1;2.0;0
25-01-2018;MTD;1;13;2.230769230769231;4
25-01-2018;MTD;2;25;1.56;3
25-01-2018;MTD;3;1;2.0;0
25-01-2018;QTD;1;13;2.230769230769231;4
25-01-2018;QTD;2;25;1.56;3
25-01-2018;QTD;3;1;2.0;0
25-01-2018;YTD;1;13;2.230769230769231;4
25-01-2018;YTD;2;25;1.56;3
25-01-2018;YTD;3;1;2.0;0
26-01-2018;MTD;1;13;2.230769230769231;4
26-01-2018;MTD;2;25;1.56;3
26-01-2018;MTD;3;1;2.0;0
26-01-2018;QTD;1;13;2.230769230769231;4
26-01-2018;QTD;2;25;1.56;3
26-01-2018;QTD;3;1;2.0;0
26-01-2018;YTD;1;13;2.230769230769231;4
26-01-2018;YTD;2;25;1.56;3
26-01-2018;YTD;3;1;2.0;0
27-01-2018;MTD;1;14;2.2142857142857144;5
27-01-2018;MTD;2;28;1.6785714285714286;5
27-01-2018;MTD;3;1;2.0;0
27-01-2018;QTD;1;14;2.2142857142857144;5
27-01-2018;QTD;2;28;1.6785714285714286;5
27-01-2018;QTD;3;1;2.0;0
27-01-2018;YTD;1;14;2.2142857142857144;5
27-01-2018;YTD;2;28;1.6785714285714286;5
27-01-2018;YTD;3;1;2.0;0
28-01-2018;MTD;1;14;2.2142857142857144;5
28-01-2018;MTD;2;30;1.7333333333333334;5
28-01-2018;MTD;3;1;2.0;0
28-01-2018;QTD;1;14;2.2142857142857144;5
28-01-2018;QTD;2;30;1.7333333333333334;5
28-01-2018;QTD;3;1;2.0;0
28-01-2018;YTD;1;14;2.2142857142857144;5
28-01-2018;YTD;2;30;1.7333333333333334;5
28-01-2018;YTD;3;1;2.0;0
29-01-2018;MTD;1;14;2.2142857142857144;5
29-01-2018;MTD;2;32;1.75;6
29-01-2018;MTD;3;1;2.0;0
29-01-2018;QTD;1;14;2.2142857142857144;5
29-01-2018;QTD;2;32;1.75;6
29-01-2018;QTD;3;1;2.0;0
29-01-2018;YTD;1;14;2.2142857142857144;5
29-01-2018;YTD;2;32;1.75;6
29-01-2018;YTD;3;1;2.0;0
30-01-2018;MTD;1;14;2.2142857142857144;5
30-01-2018;MTD;2;33;1.7878787878787878;7
30-01-2018;MTD;3;1;2.0;0
30-01-2018;QTD;1;14;2.2142857142857144;5
30-01-2018;QTD;2;33;1.7878787878787878;7
30-01-2018;QTD;3;1;2.0;0
30-01-2018;YTD;1;14;2.2142857142857144;5
30-01-2018;YTD;2;33;1.7878787878787878;7
30-01-2018;YTD;3;1;2.0;0
31-01-2018;MTD;1;14;2.2142857142857144;5
31-01-2018;MTD;2;34;1.7941176470588236;8
31-01-2018;MTD;3;2;2.0;0
31-01-2018;QTD;1;14;2.2142857142857144;5
31-01-2018;QTD;2;34;1.7941176470588236;8
31-01-2018;QTD;3;2;2.0;0
31-01-2018;YTD;1;14;2.2142857142857144;5
31-01-2018;YTD;2;34;1.7941176470588236;8
31-01-2018;YTD;3;2;2.0;0
01-02-2018;MTD;2;1;2.0;1
01-02-2018;QTD;1;14;2.2142857142857144;5
01-02-2018;QTD;2;35;1.8;9
01-02-2018;QTD;3;2;2.0;0
01-02-2018;YTD;1;14;2.2142857142857144;5
01-02-2018;YTD;2;35;1.8;9
01-02-2018;YTD;3;2;2.0;0
02-02-2018;MTD;2;1;2.0;1
02-02-2018;QTD;1;14;2.2142857142857144;5
02-02-2018;QTD;2;35;1.8;9
02-02-2018;QTD;3;2;2.0;0
02-02-2018;YTD;1;14;2.2142857142857144;5
02-02-2018;YTD;2;35;1.8;9
02-02-2018;YTD;3;2;2.0;0
03-02-2018;MTD;1;1;2.0;1
03-02-2018;MTD;2;2;2.0;2
03-02-2018;QTD;1;15;2.2;6
03-02-2018;QTD;2;36;1.8055555555555556;10
03-02-2018;QTD;3;2;2.0;0
03-02-2018;YTD;1;15;2.2;6
03-02-2018;YTD;2;36;1.8055555555555556;10
03-02-2018;YTD;3;2;2.0;0
04-02-2018;MTD;1;1;2.0;1
04-02-2018;MTD;2;6;2.3333333333333335;3
04-02-2018;QTD;1;15;2.2;6
04-02-2018;QTD;2;40;1.875;11
04-02-2018;QTD;3;2;2.0;0
04-02-2018;YTD;1;15;2.2;6
04-02-2018;YTD;2;40;1.875;11
04-02-2018;YTD;3;2;2.0;0
05-02-2018;MTD;1;1;2.0;1
05-02-2018;MTD;2;8;2.125;3
05-02-2018;QTD;1;15;2.2;6
05-02-2018;QTD;2;42;1.8571428571428572;11
05-02-2018;QTD;3;2;2.0;0
05-02-2018;YTD;1;15;2.2;6
05-02-2018;YTD;2;42;1.8571428571428572;11
05-02-2018;YTD;3;2;2.0;0
06-02-2018;MTD;1;2;1.5;1
06-02-2018;MTD;2;9;2.2222222222222223;3
06-02-2018;QTD;1;16;2.125;6
06-02-2018;QTD;2;43;1.8837209302325582;11
06-02-2018;QTD;3;2;2.0;0
06-02-2018;YTD;1;16;2.125;6
06-02-2018;YTD;2;43;1.8837209302325582;11
06-02-2018;YTD;3;2;2.0;0
07-02-2018;MTD;1;3;2.0;1
07-02-2018;MTD;2;11;2.1818181818181817;4
07-02-2018;QTD;1;17;2.176470588235294;6
07-02-2018;QTD;2;45;1.8888888888888888;12
07-02-2018;QTD;3;2;2.0;0
07-02-2018;YTD;1;17;2.176470588235294;6
07-02-2018;YTD;2;45;1.8888888888888888;12
07-02-2018;YTD;3;2;2.0;0
08-02-2018;MTD;1;3;2.0;1
08-02-2018;MTD;2;12;2.25;5
08-02-2018;QTD;1;17;2.176470588235294;6
08-02-2018;QTD;2;46;1.9130434782608696;13
08-02-2018;QTD;3;2;2.0;0
08-02-2018;YTD;1;17;2.176470588235294;6
08-02-2018;YTD;2;46;1.9130434782608696;13
08-02-2018;YTD;3;2;2.0;0
09-02-2018;MTD;1;3;2.0;1
09-02-2018;MTD;2;13;2.3076923076923075;5
09-02-2018;MTD;3;1;1.0;0
09-02-2018;QTD;1;17;2.176470588235294;6
09-02-2018;QTD;2;47;1.9361702127659575;13
09-02-2018;QTD;3;3;1.6666666666666667;0
09-02-2018;YTD;1;17;2.176470588235294;6
09-02-2018;YTD;2;47;1.9361702127659575;13
09-02-2018;YTD;3;3;1.6666666666666667;0
10-02-2018;MTD;1;3;2.0;1
10-02-2018;MTD;2;15;2.2666666666666666;6
10-02-2018;MTD;3;1;1.0;0
10-02-2018;QTD;1;17;2.176470588235294;6
10-02-2018;QTD;2;49;1.9387755102040816;14
10-02-2018;QTD;3;3;1.6666666666666667;0
10-02-2018;YTD;1;17;2.176470588235294;6
10-02-2018;YTD;2;49;1.9387755102040816;14
10-02-2018;YTD;3;3;1.6666666666666667;0
11-02-2018;MTD;1;3;2.0;1
11-02-2018;MTD;2;16;2.1875;6
11-02-2018;MTD;3;1;1.0;0
11-02-2018;QTD;1;17;2.176470588235294;6
11-02-2018;QTD;2;50;1.92;14
11-02-2018;QTD;3;3;1.6666666666666667;0
11-02-2018;YTD;1;17;2.176470588235294;6
11-02-2018;YTD;2;50;1.92;14
11-02-2018;YTD;3;3;1.6666666666666667;0
12-02-2018;MTD;1;4;1.75;1
12-02-2018;MTD;2;17;2.176470588235294;6
12-02-2018;MTD;3;1;1.0;0
12-02-2018;QTD;1;18;2.111111111111111;6
12-02-2018;QTD;2;51;1.9215686274509804;14
12-02-2018;QTD;3;3;1.6666666666666667;0
12-02-2018;YTD;1;18;2.111111111111111;6
12-02-2018;YTD;2;51;1.9215686274509804;14
12-02-2018;YTD;3;3;1.6666666666666667;0
13-02-2018;MTD;1;4;1.75;1
13-02-2018;MTD;2;18;2.1666666666666665;6
13-02-2018;MTD;3;1;1.0;0
13-02-2018;QTD;1;18;2.111111111111111;6
13-02-2018;QTD;2;52;1.9230769230769231;14
13-02-2018;QTD;3;3;1.6666666666666667;0
13-02-2018;YTD;1;18;2.111111111111111;6
13-02-2018;YTD;2;52;1.9230769230769231;14
13-02-2018;YTD;3;3;1.6666666666666667;0
14-02-2018;MTD;1;4;1.75;1
14-02-2018;MTD;2;19;2.210526315789474;7
14-02-2018;MTD;3;1;1.0;0
14-02-2018;QTD;1;18;2.111111111111111;6
14-02-2018;QTD;2;53;1.9433962264150944;15
14-02-2018;QTD;3;3;1.6666666666666667;0
14-02-2018;YTD;1;18;2.111111111111111;6
14-02-2018;YTD;2;53;1.9433962264150944;15
14-02-2018;YTD;3;3;1.6666666666666667;0
15-02-2018;MTD;1;4;1.75;1
15-02-2018;MTD;2;19;2.210526315789474;7
15-02-2018;MTD;3;1;1.0;0
15-02-2018;QTD;1;18;2.111111111111111;6
15-02-2018;QTD;2;53;1.9433962264150944;15
15-02-2018;QTD;3;3;1.6666666666666667;0
15-02-2018;YTD;1;18;2.111111111111111;6
15-02-2018;YTD;2;53;1.9433962264150944;15
15-02-2018;YTD;3;3;1.6666666666666667;0
16-02-2018;MTD;1;5;2.0;1
16-02-2018;MTD;2;20;2.25;8
16-02-2018;MTD;3;1;1.0;0
16-02-2018;QTD;1;19;2.1578947368421053;6
16-02-2018;QTD;2;54;1.962962962962963;16
16-02-2018;QTD;3;3;1.6666666666666667;0
16-02-2018;YTD;1;19;2.1578947368421053;6
16-02-2018;YTD;2;54;1.962962962962963;16
16-02-2018;YTD;3;3;1.6666666666666667;0
17-02-2018;MTD;1;6;2.1666666666666665;1
17-02-2018;MTD;2;22;2.1818181818181817;8
17-02-2018;MTD;3;1;1.0;0
17-02-2018;QTD;1;20;2.2;6
17-02-2018;QTD;2;56;1.9464285714285714;16
17-02-2018;QTD;3;3;1.6666666666666667;0
17-02-2018;YTD;1;20;2.2;6
17-02-2018;YTD;2;56;1.9464285714285714;16
17-02-2018;YTD;3;3;1.6666666666666667;0
18-02-2018;MTD;1;6;2.1666666666666665;1
18-02-2018;MTD;2;23;2.1739130434782608;8
18-02-2018;MTD;3;1;1.0;0
18-02-2018;QTD;1;20;2.2;6
18-02-2018;QTD;2;57;1.9473684210526316;16
18-02-2018;QTD;3;3;1.6666666666666667;0
18-02-2018;YTD;1;20;2.2;6
18-02-2018;YTD;2;57;1.9473684210526316;16
18-02-2018;YTD;3;3;1.6666666666666667;0
19-02-2018;MTD;1;7;2.0;1
19-02-2018;MTD;2;23;2.1739130434782608;8
19-02-2018;MTD;3;1;1.0;0
19-02-2018;QTD;1;21;2.142857142857143;6
19-02-2018;QTD;2;57;1.9473684210526316;16
19-02-2018;QTD;3;3;1.6666666666666667;0
19-02-2018;YTD;1;21;2.142857142857143;6
19-02-2018;YTD;2;57;1.9473684210526316;16
19-02-2018;YTD;3;3;1.6666666666666667;0
20-02-2018;MTD;1;7;2.0;1
20-02-2018;MTD;2;25;2.08;8
20-02-2018;MTD;3;1;1.0;0
20-02-2018;QTD;1;21;2.142857142857143;6
20-02-2018;QTD;2;59;1.9152542372881356;16
20-02-2018;QTD;3;3;1.6666666666666667;0
20-02-2018;YTD;1;21;2.142857142857143;6
20-02-2018;YTD;2;59;1.9152542372881356;16
20-02-2018;YTD;3;3;1.6666666666666667;0
21-02-2018;MTD;1;7;2.0;1
21-02-2018;MTD;2;28;2.0714285714285716;11
21-02-2018;MTD;3;2;2.0;0
21-02-2018;QTD;1;21;2.142857142857143;6
21-02-2018;QTD;2;62;1.9193548387096775;19
21-02-2018;QTD;3;4;2.0;0
21-02-2018;YTD;1;21;2.142857142857143;6
21-02-2018;YTD;2;62;1.9193548387096775;19
21-02-2018;YTD;3;4;2.0;0
22-02-2018;MTD;1;7;2.0;1
22-02-2018;MTD;2;28;2.0714285714285716;11
22-02-2018;MTD;3;2;2.0;0
22-02-2018;QTD;1;21;2.142857142857143;6
22-02-2018;QTD;2;62;1.9193548387096775;19
22-02-2018;QTD;3;4;2.0;0
22-02-2018;YTD;1;21;2.142857142857143;6
22-02-2018;YTD;2;62;1.9193548387096775;19
22-02-2018;YTD;3;4;2.0;0
23-02-2018;MTD;1;7;2.0;1
23-02-2018;MTD;2;29;2.0344827586206895;11
23-02-2018;MTD;3;2;2.0;0
23-02-2018;QTD;1;21;2.142857142857143;6
23-02-2018;QTD;2;63;1.9047619047619047;19
23-02-2018;QTD;3;4;2.0;0
23-02-2018;YTD;1;21;2.142857142857143;6
23-02-2018;YTD;2;63;1.9047619047619047;19
23-02-2018;YTD;3;4;2.0;0
24-02-2018;MTD;1;7;2.0;1
24-02-2018;MTD;2;29;2.0344827586206895;11
24-02-2018;MTD;3;2;2.0;0
24-02-2018;QTD;1;21;2.142857142857143;6
24-02-2018;QTD;2;63;1.9047619047619047;19
24-02-2018;QTD;3;4;2.0;0
24-02-2018;YTD;1;21;2.142857142857143;6
24-02-2018;YTD;2;63;1.9047619047619047;19
24-02-2018;YTD;3;4;2.0;0
25-02-2018;MTD;1;8;2.125;2
25-02-2018;MTD;2;30;2.066666666666667;11
25-02-2018;MTD;3;2;2.0;0
25-02-2018;QTD;1;22;2.1818181818181817;7
25-02-2018;QTD;2;64;1.921875;19
25-02-2018;QTD;3;4;2.0;0
25-02-2018;YTD;1;22;2.1818181818181817;7
25-02-2018;YTD;2;64;1.921875;19
25-02-2018;YTD;3;4;2.0;0
26-02-2018;MTD;1;9;2.0;2
26-02-2018;MTD;2;30;2.066666666666667;11
26-02-2018;MTD;3;2;2.0;0
26-02-2018;QTD;1;23;2.130434782608696;7
26-02-2018;QTD;2;64;1.921875;19
26-02-2018;QTD;3;4;2.0;0
26-02-2018;YTD;1;23;2.130434782608696;7
26-02-2018;YTD;2;64;1.921875;19
26-02-2018;YTD;3;4;2.0;0
27-02-2018;MTD;1;9;2.0;2
27-02-2018;MTD;2;30;2.066666666666667;11
27-02-2018;MTD;3;2;2.0;0
27-02-2018;QTD;1;23;2.130434782608696;7
27-02-2018;QTD;2;64;1.921875;19
27-02-2018;QTD;3;4;2.0;0
27-02-2018;YTD;1;23;2.130434782608696;7
27-02-2018;YTD;2;64;1.921875;19
27-02-2018;YTD;3;4;2.0;0
28-02-2018;MTD;1;9;2.0;2
28-02-2018;MTD;2;30;2.066666666666667;11
28-02-2018;MTD;3;2;2.0;0
28-02-2018;QTD;1;23;2.130434782608696;7
28-02-2018;QTD;2;64;1.921875;19
28-02-2018;QTD;3;4;2.0;0
28-02-2018;YTD;1;23;2.130434782608696;7
28-02-2018;YTD;2;64;1.921875;19
28-02-2018;YTD;3;4;2.0;0
01-03-2018;MTD;2;1;2.0;0
01-03-2018;MTD;3;1;3.0;0
01-03-2018;QTD;1;23;2.130434782608696;7
01-03-2018;QTD;2;65;1.9230769230769231;19
01-03-2018;QTD;3;5;2.2;0
01-03-2018;YTD;1;23;2.130434782608696;7
01-03-2018;YTD;2;65;1.9230769230769231;19
01-03-2018;YTD;3;5;2.2;0
02-03-2018;MTD;2;2;1.5;0
02-03-2018;MTD;3;1;3.0;0
02-03-2018;QTD;1;23;2.130434782608696;7
02-03-2018;QTD;2;66;1.9090909090909092;19
02-03-2018;QTD;3;5;2.2;0
02-03-2018;YTD;1;23;2.130434782608696;7
02-03-2018;YTD;2;66;1.9090909090909092;19
02-03-2018;YTD;3;5;2.2;0
03-03-2018;MTD;1;1;2.0;0
03-03-2018;MTD;2;4;1.5;0
03-03-2018;MTD;3;1;3.0;0
03-03-2018;QTD;1;24;2.125;7
03-03-2018;QTD;2;68;1.8970588235294117;19
03-03-2018;QTD;3;5;2.2;0
03-03-2018;YTD;1;24;2.125;7
03-03-2018;YTD;2;68;1.8970588235294117;19
03-03-2018;YTD;3;5;2.2;0
04-03-2018;MTD;1;1;2.0;0
04-03-2018;MTD;2;4;1.5;0
04-03-2018;MTD;3;2;2.0;0
04-03-2018;QTD;1;24;2.125;7
04-03-2018;QTD;2;68;1.8970588235294117;19
04-03-2018;QTD;3;6;2.0;0
04-03-2018;YTD;1;24;2.125;7
04-03-2018;YTD;2;68;1.8970588235294117;19
04-03-2018;YTD;3;6;2.0;0
05-03-2018;MTD;1;1;2.0;0
05-03-2018;MTD;2;4;1.5;0
05-03-2018;MTD;3;2;2.0;0
05-03-2018;QTD;1;24;2.125;7
05-03-2018;QTD;2;68;1.8970588235294117;19
05-03-2018;QTD;3;6;2.0;0
05-03-2018;YTD;1;24;2.125;7
05-03-2018;YTD;2;68;1.8970588235294117;19
05-03-2018;YTD;3;6;2.0;0
06-03-2018;MTD;1;2;2.5;0
06-03-2018;MTD;2;6;1.6666666666666667;0
06-03-2018;MTD;3;3;2.3333333333333335;1
06-03-2018;QTD;1;25;2.16;7
06-03-2018;QTD;2;70;1.9;19
06-03-2018;QTD;3;7;2.142857142857143;1
06-03-2018;YTD;1;25;2.16;7
06-03-2018;YTD;2;70;1.9;19
06-03-2018;YTD;3;7;2.142857142857143;1
07-03-2018;MTD;1;2;2.5;0
07-03-2018;MTD;2;7;1.8571428571428572;0
07-03-2018;MTD;3;3;2.3333333333333335;1
07-03-2018;QTD;1;25;2.16;7
07-03-2018;QTD;2;71;1.9154929577464788;19
07-03-2018;QTD;3;7;2.142857142857143;1
07-03-2018;YTD;1;25;2.16;7
07-03-2018;YTD;2;71;1.9154929577464788;19
07-03-2018;YTD;3;7;2.142857142857143;1
08-03-2018;MTD;1;2;2.5;0
08-03-2018;MTD;2;10;2.1;1
08-03-2018;MTD;3;3;2.3333333333333335;1
08-03-2018;QTD;1;25;2.16;7
08-03-2018;QTD;2;74;1.945945945945946;20
08-03-2018;QTD;3;7;2.142857142857143;1
08-03-2018;YTD;1;25;2.16;7
08-03-2018;YTD;2;74;1.945945945945946;20
08-03-2018;YTD;3;7;2.142857142857143;1
09-03-2018;MTD;1;2;2.5;0
09-03-2018;MTD;2;11;2.090909090909091;1
09-03-2018;MTD;3;3;2.3333333333333335;1
09-03-2018;QTD;1;25;2.16;7
09-03-2018;QTD;2;75;1.9466666666666668;20
09-03-2018;QTD;3;7;2.142857142857143;1
09-03-2018;YTD;1;25;2.16;7
09-03-2018;YTD;2;75;1.9466666666666668;20
09-03-2018;YTD;3;7;2.142857142857143;1
10-03-2018;MTD;1;2;2.5;0
10-03-2018;MTD;2;13;1.9230769230769231;1
10-03-2018;MTD;3;3;2.3333333333333335;1
10-03-2018;QTD;1;25;2.16;7
10-03-2018;QTD;2;77;1.922077922077922;20
10-03-2018;QTD;3;7;2.142857142857143;1
10-03-2018;YTD;1;25;2.16;7
10-03-2018;YTD;2;77;1.922077922077922;20
10-03-2018;YTD;3;7;2.142857142857143;1
11-03-2018;MTD;1;2;2.5;0
11-03-2018;MTD;2;13;1.9230769230769231;1
11-03-2018;MTD;3;3;2.3333333333333335;1
11-03-2018;QTD;1;25;2.16;7
11-03-2018;QTD;2;77;1.922077922077922;20
11-03-2018;QTD;3;7;2.142857142857143;1
11-03-2018;YTD;1;25;2.16;7
11-03-2018;YTD;2;77;1.922077922077922;20
11-03-2018;YTD;3;7;2.142857142857143;1
12-03-2018;MTD;1;3;2.0;0
12-03-2018;MTD;2;14;1.9285714285714286;1
12-03-2018;MTD;3;3;2.3333333333333335;1
12-03-2018;QTD;1;26;2.1153846153846154;7
12-03-2018;QTD;2;78;1.9230769230769231;20
12-03-2018;QTD;3;7;2.142857142857143;1
12-03-2018;YTD;1;26;2.1153846153846154;7
12-03-2018;YTD;2;78;1.9230769230769231;20
12-03-2018;YTD;3;7;2.142857142857143;1
13-03-2018;MTD;1;3;2.0;0
13-03-2018;MTD;2;14;1.9285714285714286;1
13-03-2018;MTD;3;3;2.3333333333333335;1
13-03-2018;QTD;1;26;2.1153846153846154;7
13-03-2018;QTD;2;78;1.9230769230769231;20
13-03-2018;QTD;3;7;2.142857142857143;1
13-03-2018;YTD;1;26;2.1153846153846154;7
13-03-2018;YTD;2;78;1.9230769230769231;20
13-03-2018;YTD;3;7;2.142857142857143;1
14-03-2018;MTD;1;3;2.0;0
14-03-2018;MTD;2;17;1.9411764705882353;3
14-03-2018;MTD;3;3;2.3333333333333335;1
14-03-2018;QTD;1;26;2.1153846153846154;7
14-03-2018;QTD;2;81;1.9259259259259258;22
14-03-2018;QTD;3;7;2.142857142857143;1
14-03-2018;YTD;1;26;2.1153846153846154;7
14-03-2018;YTD;2;81;1.9259259259259258;22
14-03-2018;YTD;3;7;2.142857142857143;1
15-03-2018;MTD;1;3;2.0;0
15-03-2018;MTD;2;18;1.9444444444444444;3
15-03-2018;MTD;3;3;2.3333333333333335;1
15-03-2018;QTD;1;26;2.1153846153846154;7
15-03-2018;QTD;2;82;1.9268292682926829;22
15-03-2018;QTD;3;7;2.142857142857143;1
