date_ref;period;staff_id;product_id;nb_orders;nb_items;quantity;gross_sales;net_sales
08-01-2018;YTD;2;7;3;7;10;6609.9;6048.409
09-01-2018;MTD;1;2;3;8;13;26878.89;24247.951
09-01-2018;MTD;1;3;2;2;3;1969.97;1787.0728
09-01-2018;MTD;2;6;6;18;27;22261.81;20726.664
09-01-2018;MTD;2;7;4;11;17;11007.85;10078.466
09-01-2018;QTD;1;2;3;8;13;26878.89;24247.951
09-01-2018;QTD;1;3;2;2;3;1969.97;1787.0728
09-01-2018;QTD;2;6;6;18;27;22261.81;20726.664
09-01-2018;QTD;2;7;4;11;17;11007.85;10078.466
09-01-2018;YTD;1;2;3;8;13;26878.89;24247.951
09-01-2018;YTD;1;3;2;2;3;1969.97;1787.0728
09-01-2018;YTD;2;6;6;18;27;22261.81;20726.664
09-01-2018;YTD;2;7;4;11;17;11007.85;10078.466
10-01-2018;MTD;1;2;3;8;13;26878.89;24247.951
10-01-2018;MTD;1;3;2;2;3;1969.97;1787.0728
10-01-2018;MTD;2;6;6;18;27;22261.81;20726.664
10-01-2018;MTD;2;7;4;11;17;11007.85;10078.466
10-01-2018;QTD;1;2;3;8;13;26878.89;24247.951
10-01-2018;QTD;1;3;2;2;3;1969.97;1787.0728
10-01-2018;QTD;2;6;6;18;27;22261.81;20726.664
10-01-2018;QTD;2;7;4;11;17;11007.85;10078.466
10-01-2018;YTD;1;2;3;8;13;26878.89;24247.951
10-01-2018;YTD;1;3;2;2;3;1969.97;1787.0728
10-01-2018;YTD;2;6;6;18;27;22261.81;20726.664
10-01-2018;YTD;2;7;4;11;17;11007.85;10078.466
11-01-2018;MTD;1;2;3;8;13;26878.89;24247.951
11-01-2018;MTD;1;3;2;2;3;1969.97;1787.0728
11-01-2018;MTD;2;6;6;18;27;22261.81;20726.664
11-01-2018;MTD;2;7;4;11;17;11007.85;10078.466
11-01-2018;QTD;1;2;3;8;13;26878.89;24247.951
11-01-2018;QTD;1;3;2;2;3;1969.97;1787.0728
11-01-2018;QTD;2;6;6;18;27;22261.81;20726.664
11-01-2018;QTD;2;7;4;11;17;11007.85;10078.466
11-01-2018;YTD;1;2;3;8;13;26878.89;24247.951
11-01-2018;YTD;1;3;2;2;3;1969.97;1787.0728
11-01-2018;YTD;2;6;6;18;27;22261.81;20726.664
11-01-2018;YTD;2;7;4;11;17;11007.85;10078.466
12-01-2018;MTD;1;2;3;8;13;26878.89;24247.951
12-01-2018;MTD;1;3;4;10;13;9470.87;8329.684
12-01-2018;MTD;2;6;6;18;27;22261.81;20726.664
12-01-2018;MTD;2;7;4;11;17;11007.85;10078.466
12-01-2018;QTD;1;2;3;8;13;26878.89;24247.951
12-01-2018;QTD;1;3;4;10;13;9470.87;8329.684
12-01-2018;QTD;2;6;6;18;27;22261.81;20726.664
12-01-2018;QTD;2;7;4;11;17;11007.85;10078.466
12-01-2018;YTD;1;2;3;8;13;26878.89;24247.951
12-01-2018;YTD;1;3;4;10;13;9470.87;8329.684
12-01-2018;YTD;2;6;6;18;27;22261.81;20726.664
12-01-2018;YTD;2;7;4;11;17;11007.85;10078.466
13-01-2018;MTD;1;2;3;8;13;26878.89;24247.951
13-01-2018;MTD;1;3;4;10;13;9470.87;8329.684
13-01-2018;MTD;2;6;6;18;27;22261.81;20726.664
13-01-2018;MTD;2;7;4;11;17;11007.85;10078.466
13-01-2018;QTD;1;2;3;8;13;26878.89;24247.951
13-01-2018;QTD;1;3;4;10;13;9470.87;8329.684
13-01-2018;QTD;2;6;6;18;27;22261.81;20726.664
13-01-2018;QTD;2;7;4;11;17;11007.85;10078.466
13-01-2018;YTD;1;2;3;8;13;26878.89;24247.951
13-01-2018;YTD;1;3;4;10;13;9470.87;8329.684
13-01-2018;YTD;2;6;6;18;27;22261.81;20726.664
13-01-2018;YTD;2;7;4;11;17;11007.85;10078.466
14-01-2018;MTD;1;2;5;12;19;40525.86;36159.637
14-01-2018;MTD;1;3;5;15;21;22240.79;19736.113
14-01-2018;MTD;2;6;6;18;27;22261.81;20726.664
14-01-2018;MTD;2;7;4;11;17;11007.85;10078.466
14-01-2018;QTD;1;2;5;12;19;40525.86;36159.637
14-01-2018;QTD;1;3;5;15;21;22240.79;19736.113
14-01-2018;QTD;2;6;6;18;27;22261.81;20726.664
14-01-2018;QTD;2;7;4;11;17;11007.85;10078.466
14-01-2018;YTD;1;2;5;12;19;40525.86;36159.637
14-01-2018;YTD;1;3;5;15;21;22240.79;19736.113
14-01-2018;YTD;2;6;6;18;27;22261.81;20726.664
14-01-2018;YTD;2;7;4;11;17;11007.85;10078.466
15-01-2018;MTD;1;2;5;12;19;40525.86;36159.637
15-01-2018;MTD;1;3;5;15;21;22240.79;19736.113
15-01-2018;MTD;2;6;7;21;30;24509.8;22809.824
15-01-2018;MTD;2;7;4;11;17;11007.85;10078.466
15-01-2018;QTD;1;2;5;12;19;40525.86;36159.637
15-01-2018;QTD;1;3;5;15;21;22240.79;19736.113
15-01-2018;QTD;2;6;7;21;30;24509.8;22809.824
15-01-2018;QTD;2;7;4;11;17;11007.85;10078.466
15-01-2018;YTD;1;2;5;12;19;40525.86;36159.637
15-01-2018;YTD;1;3;5;15;21;22240.79;19736.113
15-01-2018;YTD;2;6;7;21;30;24509.8;22809.824
15-01-2018;YTD;2;7;4;11;17;11007.85;10078.466
16-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
16-01-2018;MTD;1;3;5;15;21;22240.79;19736.113
16-01-2018;MTD;2;6;7;21;30;24509.8;22809.824
16-01-2018;MTD;2;7;4;11;17;11007.85;10078.466
16-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
16-01-2018;QTD;1;3;5;15;21;22240.79;19736.113
16-01-2018;QTD;2;6;7;21;30;24509.8;22809.824
16-01-2018;QTD;2;7;4;11;17;11007.85;10078.466
16-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
16-01-2018;YTD;1;3;5;15;21;22240.79;19736.113
16-01-2018;YTD;2;6;7;21;30;24509.8;22809.824
16-01-2018;YTD;2;7;4;11;17;11007.85;10078.466
17-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
17-01-2018;MTD;1;3;5;15;21;22240.79;19736.113
17-01-2018;MTD;2;6;7;21;30;24509.8;22809.824
17-01-2018;MTD;2;7;4;11;17;11007.85;10078.466
17-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
17-01-2018;QTD;1;3;5;15;21;22240.79;19736.113
17-01-2018;QTD;2;6;7;21;30;24509.8;22809.824
17-01-2018;QTD;2;7;4;11;17;11007.85;10078.466
17-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
17-01-2018;YTD;1;3;5;15;21;22240.79;19736.113
17-01-2018;YTD;2;6;7;21;30;24509.8;22809.824
17-01-2018;YTD;2;7;4;11;17;11007.85;10078.466
18-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
18-01-2018;MTD;1;3;5;15;21;22240.79;19736.113
18-01-2018;MTD;2;6;8;26;37;29017.75;26443.184
18-01-2018;MTD;2;7;6;17;26;19745.78;18055.744
18-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
18-01-2018;QTD;1;3;5;15;21;22240.79;19736.113
18-01-2018;QTD;2;6;8;26;37;29017.75;26443.184
18-01-2018;QTD;2;7;6;17;26;19745.78;18055.744
18-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
18-01-2018;YTD;1;3;5;15;21;22240.79;19736.113
18-01-2018;YTD;2;6;8;26;37;29017.75;26443.184
18-01-2018;YTD;2;7;6;17;26;19745.78;18055.744
19-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
19-01-2018;MTD;1;3;5;15;21;22240.79;19736.113
19-01-2018;MTD;2;6;9;30;43;39348.69;35030.582
19-01-2018;MTD;2;7;7;21;31;24515.74;22261.707
19-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
19-01-2018;QTD;1;3;5;15;21;22240.79;19736.113
19-01-2018;QTD;2;6;9;30;43;39348.69;35030.582
19-01-2018;QTD;2;7;7;21;31;24515.74;22261.707
19-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
19-01-2018;YTD;1;3;5;15;21;22240.79;19736.113
19-01-2018;YTD;2;6;9;30;43;39348.69;35030.582
19-01-2018;YTD;2;7;7;21;31;24515.74;22261.707
20-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
20-01-2018;MTD;1;3;5;15;21;22240.79;19736.113
20-01-2018;MTD;2;6;11;40;57;56176.57;50073.543
20-01-2018;MTD;2;7;7;21;31;24515.74;22261.707
20-01-2018;MTD;3;8;1;2;4;9361.96;7993.865
20-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
20-01-2018;QTD;1;3;5;15;21;22240.79;19736.113
20-01-2018;QTD;2;6;11;40;57;56176.57;50073.543
20-01-2018;QTD;2;7;7;21;31;24515.74;22261.707
20-01-2018;QTD;3;8;1;2;4;9361.96;7993.865
20-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
20-01-2018;YTD;1;3;5;15;21;22240.79;19736.113
20-01-2018;YTD;2;6;11;40;57;56176.57;50073.543
20-01-2018;YTD;2;7;7;21;31;24515.74;22261.707
20-01-2018;YTD;3;8;1;2;4;9361.96;7993.865
21-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
21-01-2018;MTD;1;3;6;18;27;27940.73;25007.057
21-01-2018;MTD;2;6;12;42;60;60776.54;54231.516
21-01-2018;MTD;2;7;7;21;31;24515.74;22261.707
21-01-2018;MTD;3;8;1;2;4;9361.96;7993.865
21-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
21-01-2018;QTD;1;3;6;18;27;27940.73;25007.057
21-01-2018;QTD;2;6;12;42;60;60776.54;54231.516
21-01-2018;QTD;2;7;7;21;31;24515.74;22261.707
21-01-2018;QTD;3;8;1;2;4;9361.96;7993.865
21-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
21-01-2018;YTD;1;3;6;18;27;27940.73;25007.057
21-01-2018;YTD;2;6;12;42;60;60776.54;54231.516
21-01-2018;YTD;2;7;7;21;31;24515.74;22261.707
21-01-2018;YTD;3;8;1;2;4;9361.96;7993.865
22-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
22-01-2018;MTD;1;3;6;18;27;27940.73;25007.057
22-01-2018;MTD;2;6;13;45;66;68332.52;61054.098
22-01-2018;MTD;2;7;8;26;38;28295.68;25638.303
22-01-2018;MTD;3;8;1;2;4;9361.96;7993.865
22-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
22-01-2018;QTD;1;3;6;18;27;27940.73;25007.057
22-01-2018;QTD;2;6;13;45;66;68332.52;61054.098
22-01-2018;QTD;2;7;8;26;38;28295.68;25638.303
22-01-2018;QTD;3;8;1;2;4;9361.96;7993.865
22-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
22-01-2018;YTD;1;3;6;18;27;27940.73;25007.057
22-01-2018;YTD;2;6;13;45;66;68332.52;61054.098
22-01-2018;YTD;2;7;8;26;38;28295.68;25638.303
22-01-2018;YTD;3;8;1;2;4;9361.96;7993.865
23-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
23-01-2018;MTD;1;3;6;18;27;27940.73;25007.057
23-01-2018;MTD;2;6;14;48;70;74653.48;66699.01
23-01-2018;MTD;2;7;8;26;38;28295.68;25638.303
23-01-2018;MTD;3;8;1;2;4;9361.96;7993.865
23-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
23-01-2018;QTD;1;3;6;18;27;27940.73;25007.057
23-01-2018;QTD;2;6;14;48;70;74653.48;66699.01
23-01-2018;QTD;2;7;8;26;38;28295.68;25638.303
23-01-2018;QTD;3;8;1;2;4;9361.96;7993.865
23-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
23-01-2018;YTD;1;3;6;18;27;27940.73;25007.057
23-01-2018;YTD;2;6;14;48;70;74653.48;66699.01
23-01-2018;YTD;2;7;8;26;38;28295.68;25638.303
23-01-2018;YTD;3;8;1;2;4;9361.96;7993.865
24-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
24-01-2018;MTD;1;3;6;18;27;27940.73;25007.057
24-01-2018;MTD;2;6;14;48;70;74653.48;66699.01
24-01-2018;MTD;2;7;8;26;38;28295.68;25638.303
24-01-2018;MTD;3;8;1;2;4;9361.96;7993.865
24-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
24-01-2018;QTD;1;3;6;18;27;27940.73;25007.057
24-01-2018;QTD;2;6;14;48;70;74653.48;66699.01
24-01-2018;QTD;2;7;8;26;38;28295.68;25638.303
24-01-2018;QTD;3;8;1;2;4;9361.96;7993.865
24-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
24-01-2018;YTD;1;3;6;18;27;27940.73;25007.057
24-01-2018;YTD;2;6;14;48;70;74653.48;66699.01
24-01-2018;YTD;2;7;8;26;38;28295.68;25638.303
24-01-2018;YTD;3;8;1;2;4;9361.96;7993.865
25-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
25-01-2018;MTD;1;3;6;18;27;27940.73;25007.057
25-01-2018;MTD;2;6;15;49;72;75853.46;67838.99
25-01-2018;MTD;2;7;10;35;52;45013.56;40985.9
25-01-2018;MTD;3;8;1;2;4;9361.96;7993.865
25-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
25-01-2018;QTD;1;3;6;18;27;27940.73;25007.057
25-01-2018;QTD;2;6;15;49;72;75853.46;67838.99
25-01-2018;QTD;2;7;10;35;52;45013.56;40985.9
25-01-2018;QTD;3;8;1;2;4;9361.96;7993.865
25-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
25-01-2018;YTD;1;3;6;18;27;27940.73;25007.057
25-01-2018;YTD;2;6;15;49;72;75853.46;67838.99
25-01-2018;YTD;2;7;10;35;52;45013.56;40985.9
25-01-2018;YTD;3;8;1;2;4;9361.96;7993.865
26-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
26-01-2018;MTD;1;3;6;18;27;27940.73;25007.057
26-01-2018;MTD;2;6;15;49;72;75853.46;67838.99
26-01-2018;MTD;2;7;10;35;52;45013.56;40985.9
26-01-2018;MTD;3;8;1;2;4;9361.96;7993.865
26-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
26-01-2018;QTD;1;3;6;18;27;27940.73;25007.057
26-01-2018;QTD;2;6;15;49;72;75853.46;67838.99
26-01-2018;QTD;2;7;10;35;52;45013.56;40985.9
26-01-2018;QTD;3;8;1;2;4;9361.96;7993.865
26-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
26-01-2018;YTD;1;3;6;18;27;27940.73;25007.057
26-01-2018;YTD;2;6;15;49;72;75853.46;67838.99
26-01-2018;YTD;2;7;10;35;52;45013.56;40985.9
26-01-2018;YTD;3;8;1;2;4;9361.96;7993.865
27-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
27-01-2018;MTD;1;3;7;20;30;31969.71;28230.242
27-01-2018;MTD;2;6;16;52;77;79272.43;70706.266
27-01-2018;MTD;2;7;12;38;57;47102.52;42943.41
27-01-2018;MTD;3;8;1;2;4;9361.96;7993.865
27-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
27-01-2018;QTD;1;3;7;20;30;31969.71;28230.242
27-01-2018;QTD;2;6;16;52;77;79272.43;70706.266
27-01-2018;QTD;2;7;12;38;57;47102.52;42943.41
27-01-2018;QTD;3;8;1;2;4;9361.96;7993.865
27-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
27-01-2018;YTD;1;3;7;20;30;31969.71;28230.242
27-01-2018;YTD;2;6;16;52;77;79272.43;70706.266
27-01-2018;YTD;2;7;12;38;57;47102.52;42943.41
27-01-2018;YTD;3;8;1;2;4;9361.96;7993.865
28-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
28-01-2018;MTD;1;3;7;20;30;31969.71;28230.242
28-01-2018;MTD;2;6;16;52;77;79272.43;70706.266
28-01-2018;MTD;2;7;14;43;64;58312.45;52517.445
28-01-2018;MTD;3;8;1;2;4;9361.96;7993.865
28-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
28-01-2018;QTD;1;3;7;20;30;31969.71;28230.242
28-01-2018;QTD;2;6;16;52;77;79272.43;70706.266
28-01-2018;QTD;2;7;14;43;64;58312.45;52517.445
28-01-2018;QTD;3;8;1;2;4;9361.96;7993.865
28-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
28-01-2018;YTD;1;3;7;20;30;31969.71;28230.242
28-01-2018;YTD;2;6;16;52;77;79272.43;70706.266
28-01-2018;YTD;2;7;14;43;64;58312.45;52517.445
28-01-2018;YTD;3;8;1;2;4;9361.96;7993.865
29-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
29-01-2018;MTD;1;3;7;20;30;31969.71;28230.242
29-01-2018;MTD;2;6;16;52;77;79272.43;70706.266
29-01-2018;MTD;2;7;16;48;70;61011.4;54973.004
29-01-2018;MTD;3;8;1;2;4;9361.96;7993.865
29-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
29-01-2018;QTD;1;3;7;20;30;31969.71;28230.242
29-01-2018;QTD;2;6;16;52;77;79272.43;70706.266
29-01-2018;QTD;2;7;16;48;70;61011.4;54973.004
29-01-2018;QTD;3;8;1;2;4;9361.96;7993.865
29-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
29-01-2018;YTD;1;3;7;20;30;31969.71;28230.242
29-01-2018;YTD;2;6;16;52;77;79272.43;70706.266
29-01-2018;YTD;2;7;16;48;70;61011.4;54973.004
29-01-2018;YTD;3;8;1;2;4;9361.96;7993.865
30-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
30-01-2018;MTD;1;3;7;20;30;31969.71;28230.242
30-01-2018;MTD;2;6;16;52;77;79272.43;70706.266
30-01-2018;MTD;2;7;17;52;76;68774.34;61685.848
30-01-2018;MTD;3;8;1;2;4;9361.96;7993.865
30-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
30-01-2018;QTD;1;3;7;20;30;31969.71;28230.242
30-01-2018;QTD;2;6;16;52;77;79272.43;70706.266
30-01-2018;QTD;2;7;17;52;76;68774.34;61685.848
30-01-2018;QTD;3;8;1;2;4;9361.96;7993.865
30-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
30-01-2018;YTD;1;3;7;20;30;31969.71;28230.242
30-01-2018;YTD;2;6;16;52;77;79272.43;70706.266
30-01-2018;YTD;2;7;17;52;76;68774.34;61685.848
30-01-2018;YTD;3;8;1;2;4;9361.96;7993.865
31-01-2018;MTD;1;2;7;17;27;48525.78;43530.066
31-01-2018;MTD;1;3;7;20;30;31969.71;28230.242
31-01-2018;MTD;2;6;17;53;79;79812.41;71208.445
31-01-2018;MTD;2;7;17;52;76;68774.34;61685.848
31-01-2018;MTD;3;8;2;5;9;12101.91;10491.821
31-01-2018;QTD;1;2;7;17;27;48525.78;43530.066
31-01-2018;QTD;1;3;7;20;30;31969.71;28230.242
31-01-2018;QTD;2;6;17;53;79;79812.41;71208.445
31-01-2018;QTD;2;7;17;52;76;68774.34;61685.848
31-01-2018;QTD;3;8;2;5;9;12101.91;10491.821
31-01-2018;YTD;1;2;7;17;27;48525.78;43530.066
31-01-2018;YTD;1;3;7;20;30;31969.71;28230.242
31-01-2018;YTD;2;6;17;53;79;79812.41;71208.445
31-01-2018;YTD;2;7;17;52;76;68774.34;61685.848
31-01-2018;YTD;3;8;2;5;9;12101.91;10491.821
01-02-2018;MTD;2;7;1;3;4;2069.96;1786.465
01-02-2018;QTD;1;2;7;17;27;48525.78;43530.066
01-02-2018;QTD;1;3;7;20;30;31969.71;28230.242
01-02-2018;QTD;2;6;17;53;79;79812.41;71208.445
01-02-2018;QTD;2;7;18;55;80;70844.3;63472.312
01-02-2018;QTD;3;8;2;5;9;12101.91;10491.821
01-02-2018;YTD;1;2;7;17;27;48525.78;43530.066
01-02-2018;YTD;1;3;7;20;30;31969.71;28230.242
01-02-2018;YTD;2;6;17;53;79;79812.41;71208.445
01-02-2018;YTD;2;7;18;55;80;70844.3;63472.312
01-02-2018;YTD;3;8;2;5;9;12101.91;10491.821
02-02-2018;MTD;2;7;1;3;4;2069.96;1786.465
02-02-2018;QTD;1;2;7;17;27;48525.78;43530.066
02-02-2018;QTD;1;3;7;20;30;31969.71;28230.242
02-02-2018;QTD;2;6;17;53;79;79812.41;71208.445
02-02-2018;QTD;2;7;18;55;80;70844.3;63472.312
02-02-2018;QTD;3;8;2;5;9;12101.91;10491.821
02-02-2018;YTD;1;2;7;17;27;48525.78;43530.066
02-02-2018;YTD;1;3;7;20;30;31969.71;28230.242
02-02-2018;YTD;2;6;17;53;79;79812.41;71208.445
02-02-2018;YTD;2;7;18;55;80;70844.3;63472.312
02-02-2018;YTD;3;8;2;5;9;12101.91;10491.821
03-02-2018;MTD;1;2;1;1;1;499.99;464.9907
03-02-2018;MTD;2;6;1;4;8;5739.92;4781.931
03-02-2018;MTD;2;7;1;3;4;2069.96;1786.465
03-02-2018;QTD;1;2;8;18;28;49025.77;43995.055
03-02-2018;QTD;1;3;7;20;30;31969.71;28230.242
03-02-2018;QTD;2;6;18;57;87;85552.33;75990.38
03-02-2018;QTD;2;7;18;55;80;70844.3;63472.312
03-02-2018;QTD;3;8;2;5;9;12101.91;10491.821
03-02-2018;YTD;1;2;8;18;28;49025.77;43995.055
03-02-2018;YTD;1;3;7;20;30;31969.71;28230.242
03-02-2018;YTD;2;6;18;57;87;85552.33;75990.38
03-02-2018;YTD;2;7;18;55;80;70844.3;63472.312
03-02-2018;YTD;3;8;2;5;9;12101.91;10491.821
04-02-2018;MTD;1;2;1;1;1;499.99;464.9907
04-02-2018;MTD;2;6;3;8;15;9269.85;7802.371
04-02-2018;MTD;2;7;3;8;12;6037.9;5055.9136
04-02-2018;QTD;1;2;8;18;28;49025.77;43995.055
04-02-2018;QTD;1;3;7;20;30;31969.71;28230.242
04-02-2018;QTD;2;6;20;61;94;89082.26;79010.82
04-02-2018;QTD;2;7;20;60;88;74812.24;66741.766
04-02-2018;QTD;3;8;2;5;9;12101.91;10491.821
04-02-2018;YTD;1;2;8;18;28;49025.77;43995.055
04-02-2018;YTD;1;3;7;20;30;31969.71;28230.242
04-02-2018;YTD;2;6;20;61;94;89082.26;79010.82
04-02-2018;YTD;2;7;20;60;88;74812.24;66741.766
04-02-2018;YTD;3;8;2;5;9;12101.91;10491.821
05-02-2018;MTD;1;2;1;1;1;499.99;464.9907
