date_ref;period;order_status;nb_orders;nb_items;quantity;gross_sales;net_sales
25-02-2018;YTD;Rejected;2;6;8;8281.93;7605.965
25-02-2018;YTD;Completed;90;261;396;373177.62;332794.0
26-02-2018;MTD;Rejected;2;6;8;8281.93;7605.965
26-02-2018;MTD;Completed;41;119;182;137080.45;122281.43
26-02-2018;QTD;Rejected;2;6;8;8281.93;7605.965
26-02-2018;QTD;Completed;91;266;403;378264.6;337427.84
26-02-2018;YTD;Rejected;2;6;8;8281.93;7605.965
26-02-2018;YTD;Completed;91;266;403;378264.6;337427.84
27-02-2018;MTD;Rejected;2;6;8;8281.93;7605.965
27-02-2018;MTD;Completed;41;119;182;137080.45;122281.43
27-02-2018;QTD;Rejected;2;6;8;8281.93;7605.965
27-02-2018;QTD;Completed;91;266;403;378264.6;337427.84
27-02-2018;YTD;Rejected;2;6;8;8281.93;7605.965
27-02-2018;YTD;Completed;91;266;403;378264.6;337427.84
28-02-2018;MTD;Rejected;2;6;8;8281.93;7605.965
28-02-2018;MTD;Completed;41;119;182;137080.45;122281.43
28-02-2018;QTD;Rejected;2;6;8;8281.93;7605.965
28-02-2018;QTD;Completed;91;266;403;378264.6;337427.84
28-02-2018;YTD;Rejected;2;6;8;8281.93;7605.965
28-02-2018;YTD;Completed;91;266;403;378264.6;337427.84
01-03-2018;MTD;Completed;2;6;12;15861.88;13300.697
01-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
01-03-2018;QTD;Completed;93;272;415;394126.47;350728.56
01-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
01-03-2018;YTD;Completed;93;272;415;394126.47;350728.56
02-03-2018;MTD;Completed;3;8;14;16661.86;14055.278
02-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
02-03-2018;QTD;Completed;94;274;417;394926.47;351483.12
02-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
02-03-2018;YTD;Completed;94;274;417;394926.47;351483.12
03-03-2018;MTD;Completed;6;18;28;34459.76;29985.158
03-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
03-03-2018;QTD;Completed;97;284;431;412724.38;367413.0
03-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
03-03-2018;YTD;Completed;97;284;431;412724.38;367413.0
04-03-2018;MTD;Completed;7;20;31;35428.74;30857.24
04-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
04-03-2018;QTD;Completed;98;286;434;413693.34;368285.1
04-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
04-03-2018;YTD;Completed;98;286;434;413693.34;368285.1
05-03-2018;MTD;Completed;7;20;31;35428.74;30857.24
05-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
05-03-2018;QTD;Completed;98;286;434;413693.34;368285.1
05-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
05-03-2018;YTD;Completed;98;286;434;413693.34;368285.1
06-03-2018;MTD;Completed;11;28;43;41118.63;36023.54
06-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
06-03-2018;QTD;Completed;102;294;446;419383.22;373451.4
06-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
06-03-2018;YTD;Completed;102;294;446;419383.22;373451.4
07-03-2018;MTD;Completed;12;30;46;42488.6;37289.51
07-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
07-03-2018;QTD;Completed;103;296;449;420753.2;374717.38
07-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
07-03-2018;YTD;Completed;103;296;449;420753.2;374717.38
08-03-2018;MTD;Completed;15;42;65;53961.41;47310.844
08-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
08-03-2018;QTD;Completed;106;308;468;432226.0;384738.7
08-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
08-03-2018;YTD;Completed;106;308;468;432226.0;384738.7
09-03-2018;MTD;Completed;16;44;67;54680.4;47930.934
09-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
09-03-2018;QTD;Completed;107;310;470;432945.0;385358.78
09-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
09-03-2018;YTD;Completed;107;310;470;432945.0;385358.78
10-03-2018;MTD;Completed;18;49;73;57139.35;50145.44
10-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
10-03-2018;QTD;Completed;109;315;476;435403.94;387573.28
10-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
10-03-2018;YTD;Completed;109;315;476;435403.94;387573.28
11-03-2018;MTD;Completed;18;49;73;57139.35;50145.44
11-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
11-03-2018;QTD;Completed;109;315;476;435403.94;387573.28
11-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
11-03-2018;YTD;Completed;109;315;476;435403.94;387573.28
12-03-2018;MTD;Completed;20;55;81;64058.28;56530.047
12-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
12-03-2018;QTD;Completed;111;321;484;442322.88;393957.9
12-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
12-03-2018;YTD;Completed;111;321;484;442322.88;393957.9
13-03-2018;MTD;Completed;20;55;81;64058.28;56530.047
13-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
13-03-2018;QTD;Completed;111;321;484;442322.88;393957.9
13-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
13-03-2018;YTD;Completed;111;321;484;442322.88;393957.9
14-03-2018;MTD;Completed;23;66;100;81126.12;71997.35
14-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
14-03-2018;QTD;Completed;114;332;503;459390.72;409425.22
14-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
14-03-2018;YTD;Completed;114;332;503;459390.72;409425.22
15-03-2018;MTD;Completed;24;67;102;82226.1;72987.336
15-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
15-03-2018;QTD;Completed;115;333;505;460490.7;410415.2
15-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
15-03-2018;YTD;Completed;115;333;505;460490.7;410415.2
16-03-2018;MTD;Completed;27;72;109;100155.04;89940.375
16-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
16-03-2018;QTD;Completed;118;338;512;478419.62;427368.22
16-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
16-03-2018;YTD;Completed;118;338;512;478419.62;427368.22
17-03-2018;MTD;Completed;28;75;113;106984.01;96273.32
17-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
17-03-2018;QTD;Completed;119;341;516;485248.62;433701.2
17-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
17-03-2018;YTD;Completed;119;341;516;485248.62;433701.2
18-03-2018;MTD;Completed;29;79;121;117083.93;104583.25
18-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
18-03-2018;QTD;Completed;120;345;524;495348.53;442011.1
18-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
18-03-2018;YTD;Completed;120;345;524;495348.53;442011.1
19-03-2018;MTD;Completed;32;86;132;131214.83;117530.32
19-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
19-03-2018;QTD;Completed;123;352;535;509479.44;454958.2
19-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
19-03-2018;YTD;Completed;123;352;535;509479.44;454958.2
20-03-2018;MTD;Completed;35;94;145;140420.73;125992.58
20-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
20-03-2018;QTD;Completed;126;360;548;518685.34;463420.44
20-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
20-03-2018;YTD;Completed;126;360;548;518685.34;463420.44
21-03-2018;MTD;Completed;37;100;155;155210.66;138768.02
21-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
21-03-2018;QTD;Completed;128;366;558;533475.25;476195.88
21-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
21-03-2018;YTD;Completed;128;366;558;533475.25;476195.88
22-03-2018;MTD;Completed;37;100;155;155210.66;138768.02
22-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
22-03-2018;QTD;Completed;128;366;558;533475.25;476195.88
22-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
22-03-2018;YTD;Completed;128;366;558;533475.25;476195.88
23-03-2018;MTD;Completed;41;110;168;162248.55;144981.05
23-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
23-03-2018;QTD;Completed;132;376;571;540513.1;482408.9
23-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
23-03-2018;YTD;Completed;132;376;571;540513.1;482408.9
24-03-2018;MTD;Completed;41;110;168;162248.55;144981.05
24-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
24-03-2018;QTD;Completed;132;376;571;540513.1;482408.9
24-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
24-03-2018;YTD;Completed;132;376;571;540513.1;482408.9
25-03-2018;MTD;Completed;42;111;169;162697.55;145340.25
25-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
25-03-2018;QTD;Completed;133;377;572;540962.1;482768.1
25-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
25-03-2018;YTD;Completed;133;377;572;540962.1;482768.1
26-03-2018;MTD;Completed;45;116;177;171778.48;153659.56
26-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
26-03-2018;QTD;Completed;136;382;580;550043.06;491087.4
26-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
26-03-2018;YTD;Completed;136;382;580;550043.06;491087.4
27-03-2018;MTD;Completed;46;118;180;179459.45;160404.33
27-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
27-03-2018;QTD;Completed;137;384;583;557724.06;497832.2
27-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
27-03-2018;YTD;Completed;137;384;583;557724.06;497832.2
28-03-2018;MTD;Completed;50;127;195;188009.3;167911.4
28-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
28-03-2018;QTD;Completed;141;393;598;566273.9;505339.25
28-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
28-03-2018;YTD;Completed;141;393;598;566273.9;505339.25
29-03-2018;MTD;Completed;53;136;208;198147.19;176866.38
29-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
29-03-2018;QTD;Completed;144;402;611;576411.8;514294.22
29-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
29-03-2018;YTD;Completed;144;402;611;576411.8;514294.22
30-03-2018;MTD;Completed;54;139;212;201607.16;180105.34
30-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
30-03-2018;QTD;Completed;145;405;615;579871.75;517533.2
30-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
30-03-2018;YTD;Completed;145;405;615;579871.75;517533.2
31-03-2018;MTD;Completed;55;140;213;202157.14;180600.33
31-03-2018;QTD;Rejected;2;6;8;8281.93;7605.965
31-03-2018;QTD;Completed;146;406;616;580421.75;518028.2
31-03-2018;YTD;Rejected;2;6;8;8281.93;7605.965
31-03-2018;YTD;Completed;146;406;616;580421.75;518028.2
01-04-2018;YTD;Rejected;2;6;8;8281.93;7605.965
01-04-2018;YTD;Completed;146;406;616;580421.75;518028.2
02-04-2018;MTD;Completed;1;1;1;1799.99;1619.991
02-04-2018;QTD;Completed;1;1;1;1799.99;1619.991
02-04-2018;YTD;Rejected;2;6;8;8281.93;7605.965
02-04-2018;YTD;Completed;147;407;617;582221.75;519648.2
03-04-2018;MTD;Completed;3;6;9;14925.95;13640.554
03-04-2018;QTD;Completed;3;6;9;14925.95;13640.554
03-04-2018;YTD;Rejected;2;6;8;8281.93;7605.965
03-04-2018;YTD;Completed;149;412;625;595347.7;531668.75
04-04-2018;MTD;Rejected;1;1;1;549.99;494.991
04-04-2018;MTD;Completed;6;14;21;28474.85;26378.012
04-04-2018;QTD;Rejected;1;1;1;549.99;494.991
04-04-2018;QTD;Completed;6;14;21;28474.85;26378.012
04-04-2018;YTD;Rejected;3;7;9;8831.92;8100.9556
04-04-2018;YTD;Completed;152;420;637;608896.56;544406.2
05-04-2018;MTD;Rejected;1;1;1;549.99;494.991
05-04-2018;MTD;Completed;6;14;21;28474.85;26378.012
05-04-2018;QTD;Rejected;1;1;1;549.99;494.991
05-04-2018;QTD;Completed;6;14;21;28474.85;26378.012
05-04-2018;YTD;Rejected;3;7;9;8831.92;8100.9556
05-04-2018;YTD;Completed;152;420;637;608896.56;544406.2
06-04-2018;MTD;Rejected;1;1;1;549.99;494.991
06-04-2018;MTD;Completed;8;19;28;32462.8;29951.936
06-04-2018;QTD;Rejected;1;1;1;549.99;494.991
06-04-2018;QTD;Completed;8;19;28;32462.8;29951.936
06-04-2018;YTD;Rejected;3;7;9;8831.92;8100.9556
06-04-2018;YTD;Completed;154;425;644;612884.56;547980.1
07-04-2018;MTD;Rejected;1;1;1;549.99;494.991
07-04-2018;MTD;Completed;9;22;33;41630.77;38648.008
07-04-2018;QTD;Rejected;1;1;1;549.99;494.991
07-04-2018;QTD;Completed;9;22;33;41630.77;38648.008
07-04-2018;YTD;Rejected;3;7;9;8831.92;8100.9556
07-04-2018;YTD;Completed;155;428;649;622052.5;556676.2
08-04-2018;MTD;Rejected;1;1;1;549.99;494.991
08-04-2018;MTD;Completed;12;31;46;63898.67;59118.117
08-04-2018;QTD;Rejected;1;1;1;549.99;494.991
08-04-2018;QTD;Completed;12;31;46;63898.67;59118.117
08-04-2018;YTD;Rejected;3;7;9;8831.92;8100.9556
08-04-2018;YTD;Completed;158;437;662;644320.44;577146.3
09-04-2018;MTD;Rejected;1;1;1;549.99;494.991
09-04-2018;MTD;Completed;13;35;53;69370.6;64122.715
09-04-2018;QTD;Rejected;1;1;1;549.99;494.991
09-04-2018;QTD;Completed;13;35;53;69370.6;64122.715
09-04-2018;YTD;Rejected;3;7;9;8831.92;8100.9556
09-04-2018;YTD;Completed;159;441;669;649792.3;582150.9
10-04-2018;MTD;Rejected;1;1;1;549.99;494.991
10-04-2018;MTD;Completed;15;44;66;82209.5;75120.17
10-04-2018;QTD;Rejected;1;1;1;549.99;494.991
10-04-2018;QTD;Completed;15;44;66;82209.5;75120.17
10-04-2018;YTD;Rejected;3;7;9;8831.92;8100.9556
10-04-2018;YTD;Completed;161;450;682;662631.25;593148.4
11-04-2018;MTD;Rejected;1;1;1;549.99;494.991
11-04-2018;MTD;Completed;18;50;73;86979.43;79465.61
11-04-2018;QTD;Rejected;1;1;1;549.99;494.991
11-04-2018;QTD;Completed;18;50;73;86979.43;79465.61
11-04-2018;YTD;Rejected;3;7;9;8831.92;8100.9556
11-04-2018;YTD;Completed;164;456;689;667401.2;597493.8
