date_ref;period;staff_id;nb_orders;nb_items;quantity;gross_sales;net_sales
14-01-2018;YTD;2;10;29;44;33269.66;30805.129
15-01-2018;MTD;1;10;27;40;62766.65;55895.75
15-01-2018;MTD;2;11;32;47;35517.65;32888.29
15-01-2018;QTD;1;10;27;40;62766.65;55895.75
15-01-2018;QTD;2;11;32;47;35517.65;32888.29
15-01-2018;YTD;1;10;27;40;62766.65;55895.75
15-01-2018;YTD;2;11;32;47;35517.65;32888.29
16-01-2018;MTD;1;12;32;48;70766.57;63266.176
16-01-2018;MTD;2;11;32;47;35517.65;32888.29
16-01-2018;QTD;1;12;32;48;70766.57;63266.176
16-01-2018;QTD;2;11;32;47;35517.65;32888.29
16-01-2018;YTD;1;12;32;48;70766.57;63266.176
16-01-2018;YTD;2;11;32;47;35517.65;32888.29
17-01-2018;MTD;1;12;32;48;70766.57;63266.176
17-01-2018;MTD;2;11;32;47;35517.65;32888.29
17-01-2018;QTD;1;12;32;48;70766.57;63266.176
17-01-2018;QTD;2;11;32;47;35517.65;32888.29
17-01-2018;YTD;1;12;32;48;70766.57;63266.176
17-01-2018;YTD;2;11;32;47;35517.65;32888.29
18-01-2018;MTD;1;12;32;48;70766.57;63266.176
18-01-2018;MTD;2;14;43;63;48763.53;44498.926
18-01-2018;QTD;1;12;32;48;70766.57;63266.176
18-01-2018;QTD;2;14;43;63;48763.53;44498.926
18-01-2018;YTD;1;12;32;48;70766.57;63266.176
18-01-2018;YTD;2;14;43;63;48763.53;44498.926
19-01-2018;MTD;1;12;32;48;70766.57;63266.176
19-01-2018;MTD;2;16;51;74;63864.43;57292.29
19-01-2018;QTD;1;12;32;48;70766.57;63266.176
19-01-2018;QTD;2;16;51;74;63864.43;57292.29
19-01-2018;YTD;1;12;32;48;70766.57;63266.176
19-01-2018;YTD;2;16;51;74;63864.43;57292.29
20-01-2018;MTD;1;12;32;48;70766.57;63266.176
20-01-2018;MTD;2;18;61;88;80692.31;72335.25
20-01-2018;MTD;3;1;2;4;9361.96;7993.865
20-01-2018;QTD;1;12;32;48;70766.57;63266.176
20-01-2018;QTD;2;18;61;88;80692.31;72335.25
20-01-2018;QTD;3;1;2;4;9361.96;7993.865
20-01-2018;YTD;1;12;32;48;70766.57;63266.176
20-01-2018;YTD;2;18;61;88;80692.31;72335.25
20-01-2018;YTD;3;1;2;4;9361.96;7993.865
21-01-2018;MTD;1;13;35;54;76466.51;68537.125
21-01-2018;MTD;2;19;63;91;85292.28;76493.22
21-01-2018;MTD;3;1;2;4;9361.96;7993.865
21-01-2018;QTD;1;13;35;54;76466.51;68537.125
21-01-2018;QTD;2;19;63;91;85292.28;76493.22
21-01-2018;QTD;3;1;2;4;9361.96;7993.865
21-01-2018;YTD;1;13;35;54;76466.51;68537.125
21-01-2018;YTD;2;19;63;91;85292.28;76493.22
21-01-2018;YTD;3;1;2;4;9361.96;7993.865
22-01-2018;MTD;1;13;35;54;76466.51;68537.125
22-01-2018;MTD;2;21;71;104;96628.2;86692.4
22-01-2018;MTD;3;1;2;4;9361.96;7993.865
22-01-2018;QTD;1;13;35;54;76466.51;68537.125
22-01-2018;QTD;2;21;71;104;96628.2;86692.4
22-01-2018;QTD;3;1;2;4;9361.96;7993.865
22-01-2018;YTD;1;13;35;54;76466.51;68537.125
22-01-2018;YTD;2;21;71;104;96628.2;86692.4
22-01-2018;YTD;3;1;2;4;9361.96;7993.865
23-01-2018;MTD;1;13;35;54;76466.51;68537.125
23-01-2018;MTD;2;22;74;108;102949.16;92337.31
23-01-2018;MTD;3;1;2;4;9361.96;7993.865
23-01-2018;QTD;1;13;35;54;76466.51;68537.125
23-01-2018;QTD;2;22;74;108;102949.16;92337.31
23-01-2018;QTD;3;1;2;4;9361.96;7993.865
23-01-2018;YTD;1;13;35;54;76466.51;68537.125
23-01-2018;YTD;2;22;74;108;102949.16;92337.31
23-01-2018;YTD;3;1;2;4;9361.96;7993.865
24-01-2018;MTD;1;13;35;54;76466.51;68537.125
24-01-2018;MTD;2;22;74;108;102949.16;92337.31
24-01-2018;MTD;3;1;2;4;9361.96;7993.865
24-01-2018;QTD;1;13;35;54;76466.51;68537.125
24-01-2018;QTD;2;22;74;108;102949.16;92337.31
24-01-2018;QTD;3;1;2;4;9361.96;7993.865
24-01-2018;YTD;1;13;35;54;76466.51;68537.125
24-01-2018;YTD;2;22;74;108;102949.16;92337.31
24-01-2018;YTD;3;1;2;4;9361.96;7993.865
25-01-2018;MTD;1;13;35;54;76466.51;68537.125
25-01-2018;MTD;2;25;84;124;120867.02;108824.89
25-01-2018;MTD;3;1;2;4;9361.96;7993.865
25-01-2018;QTD;1;13;35;54;76466.51;68537.125
25-01-2018;QTD;2;25;84;124;120867.02;108824.89
25-01-2018;QTD;3;1;2;4;9361.96;7993.865
25-01-2018;YTD;1;13;35;54;76466.51;68537.125
25-01-2018;YTD;2;25;84;124;120867.02;108824.89
25-01-2018;YTD;3;1;2;4;9361.96;7993.865
26-01-2018;MTD;1;13;35;54;76466.51;68537.125
26-01-2018;MTD;2;25;84;124;120867.02;108824.89
26-01-2018;MTD;3;1;2;4;9361.96;7993.865
26-01-2018;QTD;1;13;35;54;76466.51;68537.125
26-01-2018;QTD;2;25;84;124;120867.02;108824.89
26-01-2018;QTD;3;1;2;4;9361.96;7993.865
26-01-2018;YTD;1;13;35;54;76466.51;68537.125
26-01-2018;YTD;2;25;84;124;120867.02;108824.89
26-01-2018;YTD;3;1;2;4;9361.96;7993.865
27-01-2018;MTD;1;14;37;57;80495.49;71760.305
27-01-2018;MTD;2;28;90;134;126374.95;113649.68
27-01-2018;MTD;3;1;2;4;9361.96;7993.865
27-01-2018;QTD;1;14;37;57;80495.49;71760.305
27-01-2018;QTD;2;28;90;134;126374.95;113649.68
27-01-2018;QTD;3;1;2;4;9361.96;7993.865
27-01-2018;YTD;1;14;37;57;80495.49;71760.305
27-01-2018;YTD;2;28;90;134;126374.95;113649.68
27-01-2018;YTD;3;1;2;4;9361.96;7993.865
28-01-2018;MTD;1;14;37;57;80495.49;71760.305
28-01-2018;MTD;2;30;95;141;137584.88;123223.71
28-01-2018;MTD;3;1;2;4;9361.96;7993.865
28-01-2018;QTD;1;14;37;57;80495.49;71760.305
28-01-2018;QTD;2;30;95;141;137584.88;123223.71
28-01-2018;QTD;3;1;2;4;9361.96;7993.865
28-01-2018;YTD;1;14;37;57;80495.49;71760.305
28-01-2018;YTD;2;30;95;141;137584.88;123223.71
28-01-2018;YTD;3;1;2;4;9361.96;7993.865
29-01-2018;MTD;1;14;37;57;80495.49;71760.305
29-01-2018;MTD;2;32;100;147;140283.83;125679.266
29-01-2018;MTD;3;1;2;4;9361.96;7993.865
29-01-2018;QTD;1;14;37;57;80495.49;71760.305
29-01-2018;QTD;2;32;100;147;140283.83;125679.266
29-01-2018;QTD;3;1;2;4;9361.96;7993.865
29-01-2018;YTD;1;14;37;57;80495.49;71760.305
29-01-2018;YTD;2;32;100;147;140283.83;125679.266
29-01-2018;YTD;3;1;2;4;9361.96;7993.865
30-01-2018;MTD;1;14;37;57;80495.49;71760.305
30-01-2018;MTD;2;33;104;153;148046.77;132392.11
30-01-2018;MTD;3;1;2;4;9361.96;7993.865
30-01-2018;QTD;1;14;37;57;80495.49;71760.305
30-01-2018;QTD;2;33;104;153;148046.77;132392.11
30-01-2018;QTD;3;1;2;4;9361.96;7993.865
30-01-2018;YTD;1;14;37;57;80495.49;71760.305
30-01-2018;YTD;2;33;104;153;148046.77;132392.11
30-01-2018;YTD;3;1;2;4;9361.96;7993.865
31-01-2018;MTD;1;14;37;57;80495.49;71760.305
31-01-2018;MTD;2;34;105;155;148586.75;132894.3
31-01-2018;MTD;3;2;5;9;12101.91;10491.821
31-01-2018;QTD;1;14;37;57;80495.49;71760.305
31-01-2018;QTD;2;34;105;155;148586.75;132894.3
31-01-2018;QTD;3;2;5;9;12101.91;10491.821
31-01-2018;YTD;1;14;37;57;80495.49;71760.305
31-01-2018;YTD;2;34;105;155;148586.75;132894.3
31-01-2018;YTD;3;2;5;9;12101.91;10491.821
01-02-2018;MTD;2;1;3;4;2069.96;1786.465
01-02-2018;QTD;1;14;37;57;80495.49;71760.305
01-02-2018;QTD;2;35;108;159;150656.7;134680.77
01-02-2018;QTD;3;2;5;9;12101.91;10491.821
01-02-2018;YTD;1;14;37;57;80495.49;71760.305
01-02-2018;YTD;2;35;108;159;150656.7;134680.77
01-02-2018;YTD;3;2;5;9;12101.91;10491.821
02-02-2018;MTD;2;1;3;4;2069.96;1786.465
02-02-2018;QTD;1;14;37;57;80495.49;71760.305
02-02-2018;QTD;2;35;108;159;150656.7;134680.77
02-02-2018;QTD;3;2;5;9;12101.91;10491.821
02-02-2018;YTD;1;14;37;57;80495.49;71760.305
02-02-2018;YTD;2;35;108;159;150656.7;134680.77
02-02-2018;YTD;3;2;5;9;12101.91;10491.821
03-02-2018;MTD;1;1;1;1;499.99;464.9907
03-02-2018;MTD;2;2;7;12;7809.88;6568.396
03-02-2018;QTD;1;15;38;58;80995.48;72225.3
03-02-2018;QTD;2;36;112;167;156396.62;139462.69
03-02-2018;QTD;3;2;5;9;12101.91;10491.821
03-02-2018;YTD;1;15;38;58;80995.48;72225.3
03-02-2018;YTD;2;36;112;167;156396.62;139462.69
03-02-2018;YTD;3;2;5;9;12101.91;10491.821
04-02-2018;MTD;1;1;1;1;499.99;464.9907
04-02-2018;MTD;2;6;16;27;15307.75;12858.284
04-02-2018;QTD;1;15;38;58;80995.48;72225.3
04-02-2018;QTD;2;40;121;182;163894.5;145752.58
04-02-2018;QTD;3;2;5;9;12101.91;10491.821
04-02-2018;YTD;1;15;38;58;80995.48;72225.3
04-02-2018;YTD;2;40;121;182;163894.5;145752.58
04-02-2018;YTD;3;2;5;9;12101.91;10491.821
05-02-2018;MTD;1;1;1;1;499.99;464.9907
05-02-2018;MTD;2;8;22;35;18474.7;15762.508
05-02-2018;QTD;1;15;38;58;80995.48;72225.3
05-02-2018;QTD;2;42;127;190;167061.45;148656.81
05-02-2018;QTD;3;2;5;9;12101.91;10491.821
05-02-2018;YTD;1;15;38;58;80995.48;72225.3
05-02-2018;YTD;2;42;127;190;167061.45;148656.81
05-02-2018;YTD;3;2;5;9;12101.91;10491.821
06-02-2018;MTD;1;2;5;6;4739.94;4296.845
06-02-2018;MTD;2;9;25;40;22676.65;19333.064
06-02-2018;QTD;1;16;42;63;85235.43;76057.15
06-02-2018;QTD;2;43;130;195;171263.4;152227.36
06-02-2018;QTD;3;2;5;9;12101.91;10491.821
06-02-2018;YTD;1;16;42;63;85235.43;76057.15
06-02-2018;YTD;2;43;130;195;171263.4;152227.36
06-02-2018;YTD;3;2;5;9;12101.91;10491.821
07-02-2018;MTD;1;3;8;11;9149.89;8273.9
07-02-2018;MTD;2;11;32;53;28814.54;24788.068
07-02-2018;QTD;1;17;45;68;89645.38;80034.2
07-02-2018;QTD;2;45;137;208;177401.3;157682.36
07-02-2018;QTD;3;2;5;9;12101.91;10491.821
07-02-2018;YTD;1;17;45;68;89645.38;80034.2
07-02-2018;YTD;2;45;137;208;177401.3;157682.36
07-02-2018;YTD;3;2;5;9;12101.91;10491.821
08-02-2018;MTD;1;3;8;11;9149.89;8273.9
08-02-2018;MTD;2;12;33;54;29364.53;25283.06
08-02-2018;QTD;1;17;45;68;89645.38;80034.2
08-02-2018;QTD;2;46;138;209;177951.28;158177.36
08-02-2018;QTD;3;2;5;9;12101.91;10491.821
08-02-2018;YTD;1;17;45;68;89645.38;80034.2
08-02-2018;YTD;2;46;138;209;177951.28;158177.36
08-02-2018;YTD;3;2;5;9;12101.91;10491.821
09-02-2018;MTD;1;3;8;11;9149.89;8273.9
09-02-2018;MTD;2;13;36;57;30964.5;26673.533
09-02-2018;MTD;3;1;5;8;5060.93;4422.94
09-02-2018;QTD;1;17;45;68;89645.38;80034.2
09-02-2018;QTD;2;47;141;212;179551.25;159567.83
09-02-2018;QTD;3;3;10;17;17162.84;14914.761
09-02-2018;YTD;1;17;45;68;89645.38;80034.2
09-02-2018;YTD;2;47;141;212;179551.25;159567.83
09-02-2018;YTD;3;3;10;17;17162.84;14914.761
10-02-2018;MTD;1;3;8;11;9149.89;8273.9
10-02-2018;MTD;2;15;41;64;35343.45;30576.139
10-02-2018;MTD;3;1;5;8;5060.93;4422.94
10-02-2018;QTD;1;17;45;68;89645.38;80034.2
10-02-2018;QTD;2;49;146;219;183930.2;163470.44
10-02-2018;QTD;3;3;10;17;17162.84;14914.761
10-02-2018;YTD;1;17;45;68;89645.38;80034.2
10-02-2018;YTD;2;49;146;219;183930.2;163470.44
10-02-2018;YTD;3;3;10;17;17162.84;14914.761
11-02-2018;MTD;1;3;8;11;9149.89;8273.9
11-02-2018;MTD;2;16;44;68;37542.42;32560.21
11-02-2018;MTD;3;1;5;8;5060.93;4422.94
11-02-2018;QTD;1;17;45;68;89645.38;80034.2
11-02-2018;QTD;2;50;149;223;186129.17;165454.52
11-02-2018;QTD;3;3;10;17;17162.84;14914.761
11-02-2018;YTD;1;17;45;68;89645.38;80034.2
11-02-2018;YTD;2;50;149;223;186129.17;165454.52
11-02-2018;YTD;3;3;10;17;17162.84;14914.761
12-02-2018;MTD;1;4;11;16;11097.86;10080.3125
12-02-2018;MTD;2;17;49;76;42112.34;36756.24
12-02-2018;MTD;3;1;5;8;5060.93;4422.94
12-02-2018;QTD;1;18;48;73;91593.35;81840.62
12-02-2018;QTD;2;51;154;231;190699.1;169650.53
12-02-2018;QTD;3;3;10;17;17162.84;14914.761
12-02-2018;YTD;1;18;48;73;91593.35;81840.62
12-02-2018;YTD;2;51;154;231;190699.1;169650.53
12-02-2018;YTD;3;3;10;17;17162.84;14914.761
13-02-2018;MTD;1;4;11;16;11097.86;10080.3125
13-02-2018;MTD;2;18;51;79;43782.31;38333.312
13-02-2018;MTD;3;1;5;8;5060.93;4422.94
13-02-2018;QTD;1;18;48;73;91593.35;81840.62
13-02-2018;QTD;2;52;156;234;192369.06;171227.61
13-02-2018;QTD;3;3;10;17;17162.84;14914.761
13-02-2018;YTD;1;18;48;73;91593.35;81840.62
13-02-2018;YTD;2;52;156;234;192369.06;171227.61
13-02-2018;YTD;3;3;10;17;17162.84;14914.761
14-02-2018;MTD;1;4;11;16;11097.86;10080.3125
14-02-2018;MTD;2;19;54;83;53312.27;47097.277
14-02-2018;MTD;3;1;5;8;5060.93;4422.94
14-02-2018;QTD;1;18;48;73;91593.35;81840.62
14-02-2018;QTD;2;53;159;238;201899.02;179991.58
14-02-2018;QTD;3;3;10;17;17162.84;14914.761
14-02-2018;YTD;1;18;48;73;91593.35;81840.62
14-02-2018;YTD;2;53;159;238;201899.02;179991.58
14-02-2018;YTD;3;3;10;17;17162.84;14914.761
15-02-2018;MTD;1;4;11;16;11097.86;10080.3125
15-02-2018;MTD;2;19;54;83;53312.27;47097.277
15-02-2018;MTD;3;1;5;8;5060.93;4422.94
15-02-2018;QTD;1;18;48;73;91593.35;81840.62
15-02-2018;QTD;2;53;159;238;201899.02;179991.58
15-02-2018;QTD;3;3;10;17;17162.84;14914.761
15-02-2018;YTD;1;18;48;73;91593.35;81840.62
15-02-2018;YTD;2;53;159;238;201899.02;179991.58
15-02-2018;YTD;3;3;10;17;17162.84;14914.761
16-02-2018;MTD;1;5;15;21;13897.81;12508.27
16-02-2018;MTD;2;20;58;89;55628.25;49149.63
16-02-2018;MTD;3;1;5;8;5060.93;4422.94
16-02-2018;QTD;1;19;52;78;94393.3;84268.58
16-02-2018;QTD;2;54;163;244;204215.0;182043.92
16-02-2018;QTD;3;3;10;17;17162.84;14914.761
16-02-2018;YTD;1;19;52;78;94393.3;84268.58
16-02-2018;YTD;2;54;163;244;204215.0;182043.92
16-02-2018;YTD;3;3;10;17;17162.84;14914.761
17-02-2018;MTD;1;6;19;28;22225.76;20076.324
17-02-2018;MTD;2;22;64;98;61905.19;54526.17
17-02-2018;MTD;3;1;5;8;5060.93;4422.94
17-02-2018;QTD;1;20;56;85;102721.25;91836.63
17-02-2018;QTD;2;56;169;253;210491.94;187420.47
17-02-2018;QTD;3;3;10;17;17162.84;14914.761
17-02-2018;YTD;1;20;56;85;102721.25;91836.63
17-02-2018;YTD;2;56;169;253;210491.94;187420.47
17-02-2018;YTD;3;3;10;17;17162.84;14914.761
18-02-2018;MTD;1;6;19;28;22225.76;20076.324
18-02-2018;MTD;2;23;66;102;66267.15;58115.74
18-02-2018;MTD;3;1;5;8;5060.93;4422.94
18-02-2018;QTD;1;20;56;85;102721.25;91836.63
18-02-2018;QTD;2;57;171;257;214853.9;191010.03
18-02-2018;QTD;3;3;10;17;17162.84;14914.761
18-02-2018;YTD;1;20;56;85;102721.25;91836.63
18-02-2018;YTD;2;57;171;257;214853.9;191010.03
18-02-2018;YTD;3;3;10;17;17162.84;14914.761
19-02-2018;MTD;1;7;21;31;24825.73;22456.297
19-02-2018;MTD;2;23;66;102;66267.15;58115.74
19-02-2018;MTD;3;1;5;8;5060.93;4422.94
19-02-2018;QTD;1;21;58;88;105321.22;94216.6
19-02-2018;QTD;2;57;171;257;214853.9;191010.03
19-02-2018;QTD;3;3;10;17;17162.84;14914.761
19-02-2018;YTD;1;21;58;88;105321.22;94216.6
19-02-2018;YTD;2;57;171;257;214853.9;191010.03
19-02-2018;YTD;3;3;10;17;17162.84;14914.761
20-02-2018;MTD;1;7;21;31;24825.73;22456.297
20-02-2018;MTD;2;25;70;109;74176.09;65587.055
20-02-2018;MTD;3;1;5;8;5060.93;4422.94
20-02-2018;QTD;1;21;58;88;105321.22;94216.6
20-02-2018;QTD;2;59;175;264;222762.84;198481.34
20-02-2018;QTD;3;3;10;17;17162.84;14914.761
20-02-2018;YTD;1;21;58;88;105321.22;94216.6
20-02-2018;YTD;2;59;175;264;222762.84;198481.34
20-02-2018;YTD;3;3;10;17;17162.84;14914.761
21-02-2018;MTD;1;7;21;31;24825.73;22456.297
21-02-2018;MTD;2;28;79;124;92794.95;82234.5
21-02-2018;MTD;3;2;7;11;7321.9;6523.863
21-02-2018;QTD;1;21;58;88;105321.22;94216.6
21-02-2018;QTD;2;62;184;279;241381.7;215128.8
21-02-2018;QTD;3;4;12;20;19423.81;17015.684
21-02-2018;YTD;1;21;58;88;105321.22;94216.6
21-02-2018;YTD;2;62;184;279;241381.7;215128.8
21-02-2018;YTD;3;4;12;20;19423.81;17015.684
22-02-2018;MTD;1;7;21;31;24825.73;22456.297
22-02-2018;MTD;2;28;79;124;92794.95;82234.5
22-02-2018;MTD;3;2;7;11;7321.9;6523.863
22-02-2018;QTD;1;21;58;88;105321.22;94216.6
22-02-2018;QTD;2;62;184;279;241381.7;215128.8
22-02-2018;QTD;3;4;12;20;19423.81;17015.684
22-02-2018;YTD;1;21;58;88;105321.22;94216.6
22-02-2018;YTD;2;62;184;279;241381.7;215128.8
22-02-2018;YTD;3;4;12;20;19423.81;17015.684
23-02-2018;MTD;1;7;21;31;24825.73;22456.297
23-02-2018;MTD;2;29;81;126;94264.93;83571.58
23-02-2018;MTD;3;2;7;11;7321.9;6523.863
23-02-2018;QTD;1;21;58;88;105321.22;94216.6
23-02-2018;QTD;2;63;186;281;242851.69;216465.88
23-02-2018;QTD;3;4;12;20;19423.81;17015.684
23-02-2018;YTD;1;21;58;88;105321.22;94216.6
23-02-2018;YTD;2;63;186;281;242851.69;216465.88
23-02-2018;YTD;3;4;12;20;19423.81;17015.684
24-02-2018;MTD;1;7;21;31;24825.73;22456.297
24-02-2018;MTD;2;29;81;126;94264.93;83571.58
24-02-2018;MTD;3;2;7;11;7321.9;6523.863
24-02-2018;QTD;1;21;58;88;105321.22;94216.6
24-02-2018;QTD;2;63;186;281;242851.69;216465.88
24-02-2018;QTD;3;4;12;20;19423.81;17015.684
24-02-2018;YTD;1;21;58;88;105321.22;94216.6
24-02-2018;YTD;2;63;186;281;242851.69;216465.88
24-02-2018;YTD;3;4;12;20;19423.81;17015.684
25-02-2018;MTD;1;8;25;37;28606.67;25932.14
25-02-2018;MTD;2;30;82;127;96064.92;85191.57
25-02-2018;MTD;3;2;7;11;7321.9;6523.863
25-02-2018;QTD;1;22;62;94;109102.16;97692.445
25-02-2018;QTD;2;64;187;282;244651.67;218085.88
25-02-2018;QTD;3;4;12;20;19423.81;17015.684
25-02-2018;YTD;1;22;62;94;109102.16;97692.445
25-02-2018;YTD;2;64;187;282;244651.67;218085.88
25-02-2018;YTD;3;4;12;20;19423.81;17015.684
26-02-2018;MTD;1;9;30;44;33693.63;30565.996
26-02-2018;MTD;2;30;82;127;96064.92;85191.57
26-02-2018;MTD;3;2;7;11;7321.9;6523.863
26-02-2018;QTD;1;23;67;101;114189.12;102326.305
26-02-2018;QTD;2;64;187;282;244651.67;218085.88
26-02-2018;QTD;3;4;12;20;19423.81;17015.684
26-02-2018;YTD;1;23;67;101;114189.12;102326.305
26-02-2018;YTD;2;64;187;282;244651.67;218085.88
26-02-2018;YTD;3;4;12;20;19423.81;17015.684
27-02-2018;MTD;1;9;30;44;33693.63;30565.996
27-02-2018;MTD;2;30;82;127;96064.92;85191.57
27-02-2018;MTD;3;2;7;11;7321.9;6523.863
27-02-2018;QTD;1;23;67;101;114189.12;102326.305
27-02-2018;QTD;2;64;187;282;244651.67;218085.88
27-02-2018;QTD;3;4;12;20;19423.81;17015.684
27-02-2018;YTD;1;23;67;101;114189.12;102326.305
27-02-2018;YTD;2;64;187;282;244651.67;218085.88
27-02-2018;YTD;3;4;12;20;19423.81;17015.684
28-02-2018;MTD;1;9;30;44;33693.63;30565.996
28-02-2018;MTD;2;30;82;127;96064.92;85191.57
28-02-2018;MTD;3;2;7;11;7321.9;6523.863
28-02-2018;QTD;1;23;67;101;114189.12;102326.305
28-02-2018;QTD;2;64;187;282;244651.67;218085.88
28-02-2018;QTD;3;4;12;20;19423.81;17015.684
28-02-2018;YTD;1;23;67;101;114189.12;102326.305
28-02-2018;YTD;2;64;187;282;244651.67;218085.88
28-02-2018;YTD;3;4;12;20;19423.81;17015.684
01-03-2018;MTD;2;1;5;10;14761.9;12420.713
01-03-2018;MTD;3;1;1;2;1099.98;879.984
01-03-2018;QTD;1;23;67;101;114189.12;102326.305
01-03-2018;QTD;2;65;192;292;259413.56;230506.58
01-03-2018;QTD;3;5;13;22;20523.79;17895.668
01-03-2018;YTD;1;23;67;101;114189.12;102326.305
01-03-2018;YTD;2;65;192;292;259413.56;230506.58
01-03-2018;YTD;3;5;13;22;20523.79;17895.668
02-03-2018;MTD;2;2;7;12;15561.88;13175.294
02-03-2018;MTD;3;1;1;2;1099.98;879.984
02-03-2018;QTD;1;23;67;101;114189.12;102326.305
02-03-2018;QTD;2;66;194;294;260213.55;231261.16
02-03-2018;QTD;3;5;13;22;20523.79;17895.668
02-03-2018;YTD;1;23;67;101;114189.12;102326.305
02-03-2018;YTD;2;66;194;294;260213.55;231261.16
